sentID.BTEC	split	lang
0	corpus-6-train	EN
2	corpus-6-train	EN
4	corpus-6-train	EN
5	corpus-6-test-corpus-26-train	EN
9	corpus-6-test-corpus-26-train	EN
11	corpus-6-test-corpus-26-train	EN
12	corpus-6-train	EN
14	corpus-6-train	EN
15	corpus-6-train	EN
16	corpus-6-train	EN
17	corpus-6-train	EN
18	corpus-6-train	EN
19	corpus-6-train	EN
24	corpus-6-train	EN
26	corpus-6-test-corpus-26-train	EN
27	corpus-6-test-corpus-26-train	EN
29	corpus-6-train	EN
30	corpus-6-test-corpus-26-train	EN
31	corpus-6-train	EN
37	corpus-6-dev	EN
38	corpus-6-train	EN
40	corpus-6-train	EN
42	corpus-6-train	EN
46	corpus-6-train	EN
50	corpus-6-test-corpus-26-train	EN
51	corpus-6-train	EN
52	corpus-6-train	EN
53	corpus-6-train	EN
56	corpus-6-train	EN
57	corpus-6-train	EN
62	corpus-6-train	EN
63	corpus-6-train	EN
64	corpus-6-test-corpus-26-train	EN
68	corpus-6-train	EN
69	corpus-6-train	EN
72	corpus-6-train	EN
74	corpus-6-test-corpus-26-train	EN
78	corpus-6-dev	EN
79	corpus-6-train	EN
83	corpus-6-train	EN
84	corpus-6-train	EN
86	corpus-6-test-corpus-26-train	EN
87	corpus-6-test-corpus-26-train	EN
89	corpus-6-dev	EN
90	corpus-6-train	EN
91	corpus-6-test-corpus-26-train	EN
92	corpus-6-train	EN
93	corpus-6-train	EN
94	corpus-6-train	EN
96	corpus-6-train	EN
97	corpus-6-train	EN
98	corpus-6-train	EN
100	corpus-6-dev	EN
102	corpus-6-train	EN
103	corpus-6-train	EN
104	corpus-6-train	EN
105	corpus-6-train	EN
106	corpus-6-train	EN
108	corpus-6-train	EN
109	corpus-6-train	EN
111	corpus-6-train	EN
112	corpus-6-train	EN
113	corpus-6-train	EN
115	corpus-6-train	EN
116	corpus-6-train	EN
117	corpus-6-train	EN
119	corpus-6-train	EN
120	corpus-6-test-corpus-26-test	EN
122	corpus-6-train	EN
125	corpus-6-train	EN
128	corpus-6-train	EN
129	corpus-6-test-corpus-26-train	EN
130	corpus-6-test-corpus-26-train	EN
131	corpus-6-train	EN
133	corpus-6-train	EN
134	corpus-6-dev	EN
135	corpus-6-dev	EN
136	corpus-6-dev	EN
138	corpus-6-train	EN
139	corpus-6-dev	EN
140	corpus-6-test-corpus-26-train	EN
142	corpus-6-dev	EN
143	corpus-6-test-corpus-26-train	EN
144	corpus-6-train	EN
145	corpus-6-test-corpus-26-train	EN
146	corpus-6-train	EN
147	corpus-6-train	EN
148	corpus-6-train	EN
149	corpus-6-train	EN
151	corpus-6-train	EN
