sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	ASW	هناك، قدام مكتب ارشادات السياح على طول.
9	corpus-6-test-corpus-26-train	ASW	انا عمرى ماسمعت عن العنوان ده هنا.
11	corpus-6-test-corpus-26-train	ASW	امشي على طول لغاية متشوف صيدلية.
26	corpus-6-test-corpus-26-train	ASW	بكام الفطار ده؟
27	corpus-6-test-corpus-26-train	ASW	إزاي أقدر اساعدك؟
30	corpus-6-test-corpus-26-train	ASW	امشي شمال لغاية الناصية التالتة.
50	corpus-6-test-corpus-26-train	ASW	عايز كريمة وسكر على القهوة بتاعتك؟
64	corpus-6-test-corpus-26-train	ASW	ممكن تصرفلى الشيك بتاعى بمتين دولار؟
74	corpus-6-test-corpus-26-train	ASW	لو المفروض يظهر، كلمني.
86	corpus-6-test-corpus-26-train	ASW	فين الكوفي شوب؟
87	corpus-6-test-corpus-26-train	ASW	كنت عايز بلوفر اطفال.
91	corpus-6-test-corpus-26-train	ASW	ماشي. هتكلف خمسة وتمانين سنت لو بالبريد العادي وتلات دولارات بالظبط زيادة لو بالتوصيل الخاص.
120	corpus-6-test-corpus-26-test	ASW	لو مكانك هشتري ده.
129	corpus-6-test-corpus-26-train	ASW	هو انا هلاقي اى صعوبة مع الجمارك؟
130	corpus-6-test-corpus-26-train	ASW	عندك جزم رسمية بوش عريض؟
140	corpus-6-test-corpus-26-train	ASW	لا. بس ممكن اقترح بدل من كدة أوضة مزدوجة لاستخدام فرد؟ احنا عندنا واحدة.
143	corpus-6-test-corpus-26-train	ASW	كنت عاوز كيرلى كويس، لو سمحت.
145	corpus-6-test-corpus-26-train	ASW	هي عايزة بيرة.
157	corpus-6-test-corpus-26-train	ASW	صباح الخير. عامل ايه؟
158	corpus-6-test-corpus-26-train	ASW	معلش كنت عايز اشوف تحقيق الشخصية.
169	corpus-6-test-corpus-26-train	ASW	اي نوع صوص؟
170	corpus-6-test-corpus-26-train	ASW	ده بارد شوية. ممكن تسخنه؟
173	corpus-6-test-corpus-26-test	ASW	معلش، المكان ده أصلاً محݘوز.
176	corpus-6-test-corpus-26-train	ASW	أنا كويس . بس لو معندكش مانع أكلم صاحبي؟
177	corpus-6-test-corpus-26-test	ASW	متشكر. كدة كفاية.
184	corpus-6-test-corpus-26-train	ASW	مين صاحبك الانتيم؟
