sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	DAM	موجود هنيك، قدام مكتب معلومات السياح بالزبط.
9	corpus-6-test-corpus-26-train	DAM	ما سمعت بهيك عنوان هون من قبل.
11	corpus-6-test-corpus-26-train	DAM	إمشي مباشرة لحد ما تشوف صيدلية.
26	corpus-6-test-corpus-26-train	DAM	بأديش الفطور؟
27	corpus-6-test-corpus-26-train	DAM	كيف فيني ساعدك؟
30	corpus-6-test-corpus-26-train	DAM	لف عالشمال بالدخلة التالتة.
50	corpus-6-test-corpus-26-train	DAM	بتحب كريما وسكر مع القهوة؟
64	corpus-6-test-corpus-26-train	DAM	ممكن تصرفلي هاد الشيك بقيمة ميتين دولار؟
74	corpus-6-test-corpus-26-train	DAM	إذا بين، اتصل فيني رجاءً.
86	corpus-6-test-corpus-26-train	DAM	وين القهوة؟
87	corpus-6-test-corpus-26-train	DAM	بدي كنزة أطفال.
91	corpus-6-test-corpus-26-train	DAM	أوك. هاد بكلف خمسة وتمانين سنت بالبريد العادي وزيادة تلاتة دولار بالظبط للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	DAM	لو كنت مكانك كنت اشتريته.
129	corpus-6-test-corpus-26-train	DAM	ممكن واجه صعوبة مع الجمارك؟
130	corpus-6-test-corpus-26-train	DAM	بلاقي عندك حذاء رسمي للرجلين العراض؟
140	corpus-6-test-corpus-26-train	DAM	لاء. ممكن اقترح وحدة لشخصين للاستخدام الفردي بدالها؟ عنا وحدة.
143	corpus-6-test-corpus-26-train	DAM	بدي كيرلي ضيق، إذا سمحت.
145	corpus-6-test-corpus-26-train	DAM	بدها بيرة.
157	corpus-6-test-corpus-26-train	DAM	صباح الخير. كيفك؟
158	corpus-6-test-corpus-26-train	DAM	للأسف أنا مضطر إني شوف شي بيثبت الهوية.
169	corpus-6-test-corpus-26-train	DAM	أي نوع صوص؟
170	corpus-6-test-corpus-26-train	DAM	هاد بارد شوي. ممكن تسخنه؟
173	corpus-6-test-corpus-26-test	DAM	بعتذر. هالمكان محجوز.
176	corpus-6-test-corpus-26-train	DAM	أنا منيح. بس في مجال تتصل برفيقي؟
177	corpus-6-test-corpus-26-test	DAM	شكراً. هيك بكفي.
184	corpus-6-test-corpus-26-train	DAM	مين أقرب صديق لئلك؟
187	corpus-6-test-corpus-26-train	DAM	يوم الصحة والرياضة بعشرة تشرين الأول هوة عطلة رسمية مخصصة للتوعية بتحسين صحة الشعب.
192	corpus-6-test-corpus-26-train	DAM	بدك افحص تحت الطبون؟
206	corpus-6-test-corpus-26-train	DAM	ممكن تساعدني لاقي شنتاية سفري؟
221	corpus-6-test-corpus-26-train	DAM	فيك تعمل الترتيبات سلفاً؟
238	corpus-6-test-corpus-26-train	DAM	في حدا عم يساعدني. شكراً.
261	corpus-6-test-corpus-26-train	DAM	وقت توصل لهنيك، اسآل حدا تاني، رجاءً.
280	corpus-6-test-corpus-26-train	DAM	اعطيني تحويلة أربع وعشرين لو سمحت.
285	corpus-6-test-corpus-26-train	DAM	هدول دولارين، وخلي الكمالة.
315	corpus-6-test-corpus-26-train	DAM	وحدة هامبرغر و وحدة تشيزبرغر، إذا سمحت.
319	corpus-6-test-corpus-26-train	DAM	أديش بتاخد عالاجراءات؟
320	corpus-6-test-corpus-26-train	DAM	كل واحد مننا بحب يدفع عن وجبته.
326	corpus-6-test-corpus-26-train	DAM	كان الموقع على كرسي بالردهة.
333	corpus-6-test-corpus-26-test	DAM	رجاءً حولي هدول الينات لجنيهات.
346	corpus-6-test-corpus-26-train	DAM	بدي قاموس حجمه صغير، لو سمحت.
360	corpus-6-test-corpus-26-train	DAM	"لشخصين عالساعة سبعة. الاسم هوة ""واتانابي""."
368	corpus-6-test-corpus-26-train	DAM	ساعتي. كانت سيكو ديجيتال.
370	corpus-6-test-corpus-26-train	DAM	بيسعدنا نقدملك الشراب يللي بتختاره، وبعده العشا. الدليل الكامل للمشروبات يللي منقدمها على هي الرحلة موجود بدليل المعلومات بمجلتنا.
373	corpus-6-test-corpus-26-test	DAM	ساكن قريب من هون؟
375	corpus-6-test-corpus-26-train	DAM	وين محل الهدايا؟
386	corpus-6-test-corpus-26-test	DAM	أنا على الأتوستراد واحد قريب من خليج مورو.
391	corpus-6-test-corpus-26-train	DAM	بدي ساعة منبه إذا بتريد.
398	corpus-6-test-corpus-26-dev	DAM	بالمناسبة، اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	DAM	هاد القطار بوقف بليك فورست، صح؟
408	corpus-6-test-corpus-26-train	DAM	أغلب اليابانيين بياكلوا أخطبوط و محار.
416	corpus-6-test-corpus-26-train	DAM	ممكن تعطيني تذكرتين درجة تانية على شيكاغو، إذا بتريد؟
419	corpus-6-test-corpus-26-train	DAM	رحت على نيويورك.
423	corpus-6-test-corpus-26-train	DAM	شو رقم الرحلة؟
442	corpus-6-test-corpus-26-test	DAM	واحد على نيويورك، إذا ممكن.
446	corpus-6-test-corpus-26-train	DAM	لمدة كم يوم.
447	corpus-6-test-corpus-26-train	DAM	التاني عاليسار.
471	corpus-6-test-corpus-26-dev	DAM	هاد الكرت، تمام؟
488	corpus-6-test-corpus-26-train	DAM	هاد مكتب الاستقبال؟ في عيادة قريبة؟
493	corpus-6-test-corpus-26-train	DAM	بكفي عشرة دولار للتكسي؟
503	corpus-6-test-corpus-26-train	DAM	طعمته غريبة.
512	corpus-6-test-corpus-26-train	DAM	اي. استنى، رح جبلك واحد.
516	corpus-6-test-corpus-26-train	DAM	نص قنينة، إذا سمحت.
540	corpus-6-test-corpus-26-train	DAM	لاء. بس شي مو غالي.
548	corpus-6-test-corpus-26-train	DAM	عم اتدور على شي؟
551	corpus-6-test-corpus-26-train	DAM	أربع ليالي.
553	corpus-6-test-corpus-26-train	DAM	لازمني شوية جرابات.
565	corpus-6-test-corpus-26-train	DAM	فيك اتنزل سعره لأن عليه شوية وسخ؟
571	corpus-6-test-corpus-26-train	DAM	انطرق فيني شخص. بعدها لاحظت انو جزداني انسرق.
599	corpus-6-test-corpus-26-train	DAM	مالي متأكد إذا أخدت أواعي منيح لرحلة تلات أسابيع.
612	corpus-6-test-corpus-26-train	DAM	طيب، حابين نجرب نبيت أبيض.
631	corpus-6-test-corpus-26-train	DAM	إذا حدا سأل عني، قلون إني رح كون بالقهوة.
632	corpus-6-test-corpus-26-train	DAM	متأكد إني كنت حاطه بجيبة المانطو الجوانية.
641	corpus-6-test-corpus-26-test	DAM	ممكن تعطيني اسم و رقم الشخص يللي بدك تتصل فيه؟
643	corpus-6-test-corpus-26-train	DAM	رح تدفعلي شركة الطيران لأشتري شوي من حاجاتي الضرورية الشخصية؟
650	corpus-6-test-corpus-26-train	DAM	بدي غرفة مع حمام.
652	corpus-6-test-corpus-26-dev	DAM	ما طلع شي من المكنة؟
667	corpus-6-test-corpus-26-test	DAM	كنت المفروض تسافر برحلة رقم تمانة اتنين صفر، يللي أقلعت من ربع ساعة. مو مشكلة. فيني دبرلك رحلة تانية.
673	corpus-6-test-corpus-26-train	DAM	في حدا فتحلي طردي.
679	corpus-6-test-corpus-26-test	DAM	لا، مو مشكلة. أنت هون، على كل حال.
680	corpus-6-test-corpus-26-train	DAM	خطوط الطيران اليابانية، رحلة رقم واحد اتنين تلاتة.
681	corpus-6-test-corpus-26-train	DAM	لازم اشتري شامبو.
683	corpus-6-test-corpus-26-train	DAM	ممكن اتخبرني وقت نوصل على السيفيك سينتر؟
688	corpus-6-test-corpus-26-train	DAM	وين أقرب لحام؟
703	corpus-6-test-corpus-26-train	DAM	بدنا نضل أربع ليالي إبتداءً من واحد آب.
708	corpus-6-test-corpus-26-train	DAM	شو اسم هديك الزهرة؟
719	corpus-6-test-corpus-26-train	DAM	خمسطعش أيلول هوة يوم احترام الكبار بالسن.
723	corpus-6-test-corpus-26-train	DAM	مافي صابون بغرفتي.
741	corpus-6-test-corpus-26-dev	DAM	في شي ممكن آخده لعلاج هاد الطفح؟
742	corpus-6-test-corpus-26-train	DAM	ممكن تصيغ الشي يللي قلته بطريقة تانية؟
761	corpus-6-test-corpus-26-test	DAM	أديش بدي وقت لأطلب؟
773	corpus-6-test-corpus-26-train	DAM	ممكن تعلي صوتك شوي، إذا سمحت؟
777	corpus-6-test-corpus-26-train	DAM	أديش بده وقت حتى يطلع؟
786	corpus-6-test-corpus-26-train	DAM	وين معلومات الرياضة؟
787	corpus-6-test-corpus-26-train	DAM	هاد القياس، القياس العادي، بيظبط.
793	corpus-6-test-corpus-26-test	DAM	وين بتنتها الجولة، و إيمتا؟
848	corpus-6-test-corpus-26-train	DAM	وين لازم بدل القطار حتى أوصل على إدنبره؟
855	corpus-6-test-corpus-26-train	DAM	بدي أودع هاد بصندوق امانات.
859	corpus-6-test-corpus-26-train	DAM	وين فيني اقلب مصريي؟
897	corpus-6-test-corpus-26-train	DAM	فينا نترك اغراضنا، ما عدا الغراض الغالية، بالباص؟
902	corpus-6-test-corpus-26-train	DAM	ما بعرف هالسعر على فاتورتي لشو.
917	corpus-6-test-corpus-26-train	DAM	رح ادفع خمسين دولار.
941	corpus-6-test-corpus-26-train	DAM	هلأ عرفت شو كانت المشكلة.
957	corpus-6-test-corpus-26-dev	DAM	أنا إيكيدا. عندي حجز طاولة عالساعة ستة و نص المسا. بس بدي اعتذر رح اتأخر نص ساعة.
1003	corpus-6-test-corpus-26-train	DAM	كم أونصة عطر فيني اشتري من دون ضريبة؟
1007	corpus-6-test-corpus-26-train	DAM	سياحة بس.
1010	corpus-6-test-corpus-26-train	DAM	منيح، وقعهن رجاءً. كيف بتحبه يكون؟
1023	corpus-6-test-corpus-26-test	DAM	لسه عندك مقاعد لعرض الليلة؟
1036	corpus-6-test-corpus-26-train	DAM	بدي واحد كبير.
1037	corpus-6-test-corpus-26-dev	DAM	ما صحيت على منبه الساعة ستة ونص.
1038	corpus-6-test-corpus-26-train	DAM	أنا مصور حر.
1047	corpus-6-test-corpus-26-train	DAM	اللاعبين ممكن يعطوك نصائح كازينو مقابل دولاراتك. منروح؟
1056	corpus-6-test-corpus-26-dev	DAM	عنا تقريباً تلاتين نوع زيت حمام.
1062	corpus-6-test-corpus-26-train	DAM	رح جهزلك الاقتراح الاسبوع الجاية.
1074	corpus-6-test-corpus-26-train	DAM	شكراً إلك. أديش سعر الكفوف؟
1098	corpus-6-test-corpus-26-train	DAM	مضطر روح. بحاكيك بعدين.
1100	corpus-6-test-corpus-26-train	DAM	بدي شوية حفاضات لاستعمال مرة وحدة.
1122	corpus-6-test-corpus-26-train	DAM	شو مصدر سمكات الفراشة هدول؟
1124	corpus-6-test-corpus-26-train	DAM	ممكن تبدلهون بدولار، إذا بتريد؟
1139	corpus-6-test-corpus-26-train	DAM	نحنا كتير محظوظين. عندهن واحد قياس أربعة بمحل آلا مونا.
1146	corpus-6-test-corpus-26-train	DAM	في ليموزين؟
1163	corpus-6-test-corpus-26-dev	DAM	ممكن استلم مكالمة إيقاظ عالساعة خمسة ونص بكرا الصبح؟
1165	corpus-6-test-corpus-26-train	DAM	بفضل غرفة هادية.
1167	corpus-6-test-corpus-26-train	DAM	بدي شوية مزيل مناكير.
1183	corpus-6-test-corpus-26-train	DAM	بدي بطارية.
1193	corpus-6-test-corpus-26-test	DAM	في فرقة لايف ولا دي جي؟
1194	corpus-6-test-corpus-26-train	DAM	فيني استأجر معدات غطس؟
1199	corpus-6-test-corpus-26-dev	DAM	بدي احجز غرفة لأربع ليالي ابتداءً من اتنين وعشرين كانون الأول.
