sentID.BTEC,sent,sentiment
5,هو هناك، بالظبط أمام مكتب معلومات السياح.,neutral
9,ما حصل سمعت بالعنوان دا هنا.,neutral
11,أمشي دغري لغاية تشوف صيدلية.,neutral
26,بي كم الفطور؟,neutral
27,كيف ممكن اساعدك؟,neutral
30,أمشي شمال عند الكورنة التالتة.,neutral
50,داير كريمة و سكر في قهوتك؟,neutral
64,هل يمكنك تصرف شيكي البي متين دولار؟,neutral
74,اذا مفروض يظهر، من فضلك اتصل على.,neutral
86,وين المقهى؟,neutral
87,داير بلوفر أطفال.,neutral
91,اوكي. هو يكلف خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص.,neutral
120,كنت ح اشتري دا لو انا كنت مكانك.,positive
129,ح أواجه أي صعوبات مع الجمارك؟,neutral
130,هل عندك جزمة رسمي عريضة عند اصابع القدم؟,neutral
140,لا. ممكن اقترح غرفة مزدوجة لاستعمال شخص؟ عندنا واحدة.,neutral
143,داير تجعيدة ضيقة، من فضلك.,neutral
145,دايرة بيرة.,neutral
157,صباح الخير. كيفك؟,positive
158,آسف ح احتاج اشوف اثبات هوية.,neutral
169,ياتو نوع من الصوص؟,neutral
170,دا بارد شوية. ممكن تسخنه؟,neutral
173,معليش، المكان دا محجوز.,neutral
176,انا تمام. بس ممكن تتصل ب صحبى؟,neutral
177,شكرا، دا كفاية.,positive
184,منو صحبك المفضل؟,neutral
187,يوم الصحة والرياضة العاشر من أكتوبر هو عطلة قومية مصممة لتحسين صحة الناس.,positive
192,هل انت دايرني اتحقق تحت غطا العربية؟,neutral
206,هل ممكن تساعدني ألقى شنطتي؟,neutral
221,هل ممكن تعمل ترتيبات مقدما؟,neutral
238,في زول بيساعدني. شكرا ليك.,positive
261,لمن تصل هناك، اسأل زول تاني، من فضلك.,neutral
280,داير تمديد أربعة وعشرين ساعة، من فضلك.,neutral
285,ديل دولارين. اخد الباقي.,neutral
315,هامبرقر واحد و واحد بيرقر بالجبنة، من فضلك.,positive
319,كم من السعر بتطلب للعملية؟,neutral
320,نحن كلنا دايرين ندفع لي وجباتنا.,neutral
326,الموقع كان في كرسي في اللوبي.,neutral
333,من فضلك حول هذه الينات إلى جنيهات.,neutral
346,داير دكشنري مقاس جيب، من فضلك.,positive
360,لنفرين عند السابعة. الاسم واتانيبل.,neutral
368,ساعتي. كانت سيكو ديجيتال.,neutral
370,ح يكون متعتنا ان نخدمك بمشروب من اختيارك، مصحوب بي عشاء. دليل كامل من المشروبات البنوفرها في الرحلة دي موجودة في دليل المعلومة بتاع مجلتنا.,positive
373,انت ساكن بي هنا؟,neutral
375,وين دكان دكان الهدايا؟,neutral
386,انا في الطريق السريع جنب مورو بي.,neutral
391,داير لي ساعة تنبيه، من فضلك.,neutral
398,بالمناسبة، اسمي هيروشي ايجيما.,neutral
401,القطر دا بقيف في ليك فورست، ول لا؟,neutral
408,معظم اليابانيين بياكلوا اخطبوط و حبار.,neutral
416,ممكن اخد تذكرين درجة تانية الي شيكاغو، من فضلك؟,neutral
419,مشيت نيويورك.,neutral
423,رقم الرحلة كم؟,neutral
442,واحد إلى نيويورك، من فضلك.,positive
446,لحوالي أيام قليلة.,neutral
447,التاني على الشمال.,neutral
471,الكرت دا، تمام؟,neutral
488,دا مكتب الاستقبال؟ في عيادة قريبة؟,neutral
493,هل عشرة دولارات كفاية للتكسي؟,neutral
503,دا طعموا غريب.,negative
512,أي. انتظر، بجيب ليك واحد.,neutral
516,نص قارورة، من فضلك.,neutral
540,ما حقيقة. بس حاجة ما غالية.,neutral
548,بتفتش لحاجة؟,neutral
551,أربعة ليالي.,neutral
553,داير بعض الجوارب.,neutral
565,ممكن تخليه ارخص لان هناك بعض البقع؟,neutral
571,رجل صدمني. بعد داك لاحظت ان محفظتي ذهبت.,negative
599,انا ما متأكد اذا حزمت ملابس كافية لي رحلة تلاته اسابيع.,negative
612,طيب، دايرين نجرب خمرة بيضاء.,positive
631,اذا في زول سأل عني، كلمهم اني في المقهى.,neutral
632,متأكد أنه عندي في الجيب الداخلي بتاع الجاكيت بتاعي.,neutral
641,ممكن اعرف الاسم و الرقم بتاع الشخص الانت متصل ليه؟,neutral
643,هل الخطوط الجوية ح تدفع لي عشان اشتري بعض الضروريات الشخصية؟,neutral
650,داير لي غرفة بحمام.,neutral
652,ما في حاجة جات طالعة من الآلة؟,neutral
