sentID.BTEC	split	lang	sent
0	corpus-6-train	ENG	"It's in the back of the hall. I'll get you some of it now. If you want anything else, just let me know.
"
2	corpus-6-train	ENG	"Are you making any adjustments?
"
4	corpus-6-train	ENG	"We want a table by the window.
"
5	corpus-6-test-corpus-26-train	ENG	"Right there, right in front of the tourist data.
"
9	corpus-6-test-corpus-26-train	ENG	"I've never heard of this address near here.
"
11	corpus-6-test-corpus-26-train	ENG	"Keep walking this way until you find a pharmacy.
"
12	corpus-6-train	ENG	"What's the newest color this season?
"
14	corpus-6-train	ENG	"In my case, it's mostly for work and rarely for fun.
"
15	corpus-6-train	ENG	"I'll stay for two days.
"
16	corpus-6-train	ENG	"I want a close coronation of my hair.
"
17	corpus-6-train	ENG	"I want to reserve two double rooms.
"
18	corpus-6-train	ENG	"I don't want to take it off.
"
19	corpus-6-train	ENG	"Does this bus stop on Astonor Street?
"
24	corpus-6-train	ENG	"Please open your mouth wide.
"
26	corpus-6-test-corpus-26-train	ENG	"How much is breakfast?
"
27	corpus-6-test-corpus-26-train	ENG	"How can I help you?
"
29	corpus-6-train	ENG	"Let's get a piece to eat.
"
30	corpus-6-test-corpus-26-train	ENG	"Turn left at the third exit.
"
31	corpus-6-train	ENG	"Can you clean these clothes?
"
37	corpus-6-dev	ENG	"I'll give you his phone number and address.
"
38	corpus-6-train	ENG	"I paid for the meals and the hotel fees in advance.
"
40	corpus-6-train	ENG	"I'm looking for a good restaurant, for brownies. Can you point those places to on the map?
"
42	corpus-6-train	ENG	"You're breaking it. You're the one who bought it.
"
46	corpus-6-train	ENG	"I'll tell her to call you as soon as she gets here.
"
50	corpus-6-test-corpus-26-train	ENG	"Do you like to put cream and sugar in your coffee?
"
51	corpus-6-train	ENG	"I'm seriously injured.
"
52	corpus-6-train	ENG	"I want a scarf.
"
53	corpus-6-train	ENG	"Does this hotel have conference facilities?
"
56	corpus-6-train	ENG	"Is it appropriate to have a snack?
"
57	corpus-6-train	ENG	"I'm calling from the airport. I'll be there at about four.
"
62	corpus-6-train	ENG	"Where I'm going to change to Chicago.
"
63	corpus-6-train	ENG	"How much does it cost to send a registered letter to France?
"
64	corpus-6-test-corpus-26-train	ENG	"Can you cash my two hundred-dollar check?
"
