Sentence_ID,sentence,label,Dialect
1,نعم من علامات الجمال تلك الطيبه التي لاترى بل العين ولكنها تلمس القلب هذا هو الجمال الذي لايشيخ ابدا مساء الخيرات على كل من يحب السلام والخير ربي يحفظكم,1,Yemen
2,المعرفه الجديده والمهارات الجديده واعتماد طرائق جديده في النظر الى الكون هي التي تبقي العقل والجسد في حال من النمو ويتجلى ذلك في التصميم على البقاء في حال من الجده في كل ثانيه من ثواني العمر دديباك شوبرا جسد لايشيخ عقل يتخطى الزمن,1,Oman
3,لايشيخ,0,Yemen
4,لايشيخ وكورونا بتزيده مناعه يعني كورونا العن ترا انا مناعتي ضعيفه وجتني اعراض من اللقاح يوم وراحت لو انها كورونا كان جت الاعراض اقوى وتستمر ايام,0,Saudi Arabia
5,لايشيخ و ليه المفروض اشتري بدل,0,Egypt
6,لايشيخ كيف يكتب وهو نايم,0,Saudi Arabia
7,لايشيخ بالله احلف الاداء و ناثير بالفرثق اثبت انهم الافضل ولا يمكن احد يتقارن معهم,1,Tunisia
8,طيب دانيه الغلط راكبنها من راسها لين رجولها و ماعندها لا قلب ولا مشاعر ولا تحس وكذابه وخاينه وضالمه وكل عيوب الدنيا فيها وش تبغو فيني دامني كذا اجي ابرر لك اني العكس مثلا انت نضرت لي بهالنضره وخلصت شوفني زي م تبغى يشيخ اني حتى ما اشوفك ثقتي فنفسي تكفيني عن الف واحد فيكم :joy:,1,Yemen
9,لا لا توها جاتني تذكره :sob: الله لايحرمني منك يشيخ,1,Oman
10,تبا لمن لا يعشقك يشيخ,1,Iraq
11,مصر التي حبها في دمي هلال هو الحب وحبها بدر التمام ينقص العمر وفي هواها الكمال؛ لا تهرم الروح فيها وفيها لا يشيخ الجمال مصر الهوى مصر الجوى مصر الضوى تعب كل هذا العمر وفي حبك يا مصر السلام :egypt::heart:,1,Tunisia
12,يشيخ حرك بس لا انصاف زي الناس ولا مفعلي التنبيهات,1,Yemen
13,من يحتفظ بالقدره على مشاهده الجمال لا يشيخ ابدا فرانز كافاكا  فعلا و لسوء الحظ قل الجمال تقريبا في كل شيئ لذلك هرمنا قبل اواننا عن الشيخوخه النفسيه اتحدث,1,Saudi Arabia
14,لا يشيخ هجمه سهله قدام الباب تضيعها وتضيع على فريقك الصداره تبيني اتغاضى عنها سجل هدف كويس لكن مايكفي,1,Yemen
15,تحفه حقيقيه يعني شوفوني انا ما انظر للصوره بشكل جنسي او انها عري لا انا تفكيري اعمق بكثير ما اهتم لهالاشياء يشيخ خذ انفولو بس,0,Iraq
