,Sentence_ID,sentence,Tokens,POS_Tags,Dialect
0,1,ليه لما تحب حد من قلبك يطلع واطى ليه لما تلعب على واحد يطلع بيحبك ليه اللى هيموت عليك انت مش طايقه واللى هتموت عليه مش طايقك عجبت لك يا زمن,"['ليه', 'لما', 'تحب', 'حد', 'من', 'قلبك', 'يطلع', 'واطى', 'ليه', 'لما', 'تلعب', 'على', 'واحد', 'يطلع', 'بيحبك', 'ليه', 'اللى', 'هيموت', 'عليك', 'انت', 'مش', 'طايقه', 'واللى', 'هتموت', 'عليه', 'مش', 'طايقك', 'عجبت', 'لك', 'يا', 'زمن']","['PART', 'PART', 'V', 'NOUN', 'PREP', 'NOUN+PRON', 'V', 'ADJ', 'PART', 'PART', 'V', 'PREP', 'NOUN', 'V', 'PROG_PART+V+PRON', 'PART', 'PART', 'FUT_PART+V', 'PREP+PRON', 'PRON', 'PART', 'ADJ+PRON', 'CONJ+PART', 'FUT_PART+V', 'PREP+PRON', 'PART', 'ADJ+PRON', 'V+PRON', 'PREP+PRON', 'PART', 'NOUN']",Egypt
1,2,"عارف بيقولك ايه "" إذا أخطأت فأحسن "" . . يعني متعندش . . و متسألش مين اللي بيقولك .","['عارف', 'بيقولك', 'ايه', '""', 'إذا', 'أخطأت', 'فأحسن', '""', '.', '.', 'يعني', 'متعندش', '.', '.', 'و', 'متسألش', 'مين', 'اللي', 'بيقولك', '.']","['ADJ', 'PROG_PART+V+PREP+PRON', 'PART', 'PUNC', 'PART', 'V+PRON', 'CONJ+V', 'PUNC', 'PUNC', 'PUNC', 'V', 'PART+V+NEG_PART', 'PUNC', 'PUNC', 'CONJ', 'PART+V+NEG_PART', 'PART', 'PART', 'PROG_PART+V+PREP+PRON', 'PUNC']",Egypt
2,3,الحمد لله يا جدعان الفرسان اللي اتمسكوا عند ستاد القاهرة خدوا اخلاء سبيل #ربنا_كبير . . بقالنا 7 سنين ظلم و قهر ده يرضي مين ؟ ؟ ؟ ؟ #الحمد_لله,"['الحمد', 'لله', 'يا', 'جدعان', 'الفرسان', 'اللي', 'اتمسكوا', 'عند', 'ستاد', 'القاهرة', 'خدوا', 'اخلاء', 'سبيل', '#ربنا_كبير', '.', '.', 'بقالنا', '7', 'سنين', 'ظلم', 'و', 'قهر', 'ده', 'يرضي', 'مين', '؟', '؟', '؟', '؟', '#الحمد_لله']","['DET+NOUN', 'PREP+NOUN', 'PART', 'NOUN', 'DET+NOUN', 'PART', 'V+PRON', 'NOUN', 'NOUN', 'DET+NOUN+NSUFF', 'V+PRON', 'NOUN', 'NOUN', 'HASH', 'PUNC', 'PUNC', 'V+PREP+PRON', 'NUM', 'NOUN+NSUFF', 'NOUN', 'CONJ', 'NOUN', 'PRON', 'V', 'PART', 'PUNC', 'PUNC', 'PUNC', 'PUNC', 'HASH']",Egypt
3,4,بحس بشخصيتي القوية لما اقول لاخويا اعمل حاجة . . و يعملها . . حتي لو رخم و قال لأ . . بحس اني شخصية كدا و بتسمع كلامي ^_^,"['بحس', 'بشخصيتي', 'القوية', 'لما', 'اقول', 'لاخويا', 'اعمل', 'حاجة', '.', '.', 'و', 'يعملها', '.', '.', 'حتي', 'لو', 'رخم', 'و', 'قال', 'لأ', '.', '.', 'بحس', 'اني', 'شخصية', 'كدا', 'و', 'بتسمع', 'كلامي', '^_^']","['PROG_PART+V', 'PREP+NOUN+NSUFF+PRON', 'DET+ADJ+NSUFF', 'PART', 'V', 'PREP+NOUN+PRON', 'V', 'NOUN+NSUFF', 'PUNC', 'PUNC', 'CONJ', 'V+PRON', 'PUNC', 'PUNC', 'PART', 'PART', 'V', 'CONJ', 'V', 'PART', 'PUNC', 'PUNC', 'PROG_PART+V', 'PART+PRON', 'NOUN+NSUFF', 'ADV', 'CONJ', 'PROG_PART+V', 'NOUN+PRON', 'EMOT']",Sudan
4,5,@ahmedabodsheesh يا باشا دي مش محتاجه دراسه دي بتبقي موهبه عندك مثلا عيلاء صادق و صفوت حجازي دول تفوقوا علي استاذهم صفوت الشريف كبيرهم,"['@ahmedabodsheesh', 'يا', 'باشا', 'دي', 'مش', 'محتاجه', 'دراسه', 'دي', 'بتبقي', 'موهبه', 'عندك', 'مثلا', 'عيلاء', 'صادق', 'و', 'صفوت', 'حجازي', 'دول', 'تفوقوا', 'علي', 'استاذهم', 'صفوت', 'الشريف', 'كبيرهم']","['MENTION', 'PART', 'NOUN', 'PRON', 'PART', 'ADJ+NSUFF', 'NOUN+NSUFF', 'PRON', 'PROG_PART+V', 'NOUN+NSUFF', 'NOUN+PRON', 'NOUN+CASE', 'NOUN', 'NOUN', 'CONJ', 'NOUN', 'NOUN', 'PRON', 'V+PRON', 'PREP', 'NOUN+PRON', 'NOUN', 'DET+NOUN', 'ADJ+PRON']",Egypt
5,6,و هو في محامين هيعبّرونا بعد اعتقال وتهديد المحامين اللي بيدافعوا عن المظلومين ؟ ؟ ؟ ده غير المحامي اللي قتلوا والدته ! @mohamedwaked @ANohan,"['و', 'هو', 'في', 'محامين', 'هيعبّرونا', 'بعد', 'اعتقال', 'وتهديد', 'المحامين', 'اللي', 'بيدافعوا', 'عن', 'المظلومين', '؟', '؟', '؟', 'ده', 'غير', 'المحامي', 'اللي', 'قتلوا', 'والدته', '!', '@mohamedwaked', '@ANohan']","['CONJ', 'PRON', 'PREP', 'NOUN+NSUFF', 'FUT_PART+V+PRON+PRON', 'NOUN', 'NOUN', 'CONJ+NOUN', 'DET+NOUN+NSUFF', 'PART', 'PROG_PART+V+PRON', 'PREP', 'DET+NOUN+NSUFF', 'PUNC', 'PUNC', 'PUNC', 'PRON', 'NOUN', 'DET+NOUN', 'PART', 'V+PRON', 'NOUN+NSUFF+PRON', 'PUNC', 'MENTION', 'MENTION']",Egypt
6,7,معظم الحاجات اللى مبنقدرش نحكيها بنيجى نكتبها هنا على الأقل بتخفف عنا شوية .,"['معظم', 'الحاجات', 'اللى', 'مبنقدرش', 'نحكيها', 'بنيجى', 'نكتبها', 'هنا', 'على', 'الأقل', 'بتخفف', 'عنا', 'شوية', '.']","['NOUN', 'DET+NOUN+NSUFF', 'PART', 'PART+PROG_PART+V+NEG_PART', 'V+PRON', 'PROG_PART+V', 'V+PRON', 'ADV', 'PREP', 'DET+ADJ', 'PROG_PART+V', 'PREP+PRON', 'NOUN+NSUFF', 'PUNC']",Egypt
7,8,احنا بنزعل لما ربنا يبتلينا أو تحصلنا حاجه وحشه ! مع ان ربنا إذا حب عبد ابتلاه لتكفير عن ذنوبه - يعني خاف لو ربنا مش ابتلاك .,"['احنا', 'بنزعل', 'لما', 'ربنا', 'يبتلينا', 'أو', 'تحصلنا', 'حاجه', 'وحشه', '!', 'مع', 'ان', 'ربنا', 'إذا', 'حب', 'عبد', 'ابتلاه', 'لتكفير', 'عن', 'ذنوبه', '-', 'يعني', 'خاف', 'لو', 'ربنا', 'مش', 'ابتلاك', '.']","['PRON', 'PROG_PART+V', 'PART', 'NOUN+PRON', 'V+PRON', 'CONJ', 'V+PREP+PRON', 'NOUN+NSUFF', 'ADJ+NSUFF', 'PUNC', 'NOUN', 'PART', 'NOUN+PRON', 'PART', 'V', 'NOUN', 'V+PRON', 'PREP+NOUN', 'PREP', 'NOUN+PRON', 'PUNC', 'ADV', 'V', 'PART', 'NOUN+PRON', 'PART', 'V+PRON', 'PUNC']",Egypt
8,9,( 6 ) مش عارف ليه بس الكلمة اللى عمرك ما هتندم عليها الكلمة اللى أنت لسة مقولتهاش . . . بس للأسف لازم يجى عليك وقت و تقولها,"['(', '6', ')', 'مش', 'عارف', 'ليه', 'بس', 'الكلمة', 'اللى', 'عمرك', 'ما', 'هتندم', 'عليها', 'الكلمة', 'اللى', 'أنت', 'لسة', 'مقولتهاش', '.', '.', '.', 'بس', 'للأسف', 'لازم', 'يجى', 'عليك', 'وقت', 'و', 'تقولها']","['PUNC', 'NUM', 'PUNC', 'PART', 'ADJ', 'PART', 'ADV', 'DET+NOUN+NSUFF', 'PART', 'NOUN+PRON', 'PART', 'FUT_PART+V', 'PREP+PRON', 'DET+NOUN+NSUFF', 'PART', 'PRON', 'ADV+NSUFF', 'PART+V+PRON+PRON+NEG_PART', 'PUNC', 'PUNC', 'PUNC', 'PART', 'PREP+DET+NOUN', 'ADJ', 'V', 'PREP+PRON', 'NOUN', 'CONJ', 'V+PRON']",Egypt
9,10,اضحك وبلاش التكشيرة تنسيك شكل الضحكة وشك هيكرمش عالفاضى وهتعجز بدرى خليك ناصح وارمى همومك ورا ضهرك وافرح دى الايام بتفوت وتعدى والعمر بيجرى,"['اضحك', 'وبلاش', 'التكشيرة', 'تنسيك', 'شكل', 'الضحكة', 'وشك', 'هيكرمش', 'عالفاضى', 'وهتعجز', 'بدرى', 'خليك', 'ناصح', 'وارمى', 'همومك', 'ورا', 'ضهرك', 'وافرح', 'دى', 'الايام', 'بتفوت', 'وتعدى', 'والعمر', 'بيجرى']","['V', 'CONJ+PART', 'DET+NOUN+NSUFF', 'V+PRON', 'NOUN', 'DET+NOUN+NSUFF', 'NOUN+PRON', 'FUT_PART+V', 'PREP+DET+NOUN', 'CONJ+FUT_PART+V', 'ADJ', 'V+PRON+PRON', 'ADJ', 'CONJ+V+PRON', 'NOUN+PRON', 'NOUN', 'NOUN+PRON', 'CONJ+V', 'PRON', 'DET+NOUN', 'PROG_PART+V', 'CONJ+V', 'CONJ+DET+NOUN', 'PROG_PART+V']",Egypt
