,Sentence_id,sentence,Tokens,POS_Tags,Dialect
0,1,الأب عشقان و الأم غيرانه و البنت بالبيت حيرانه,"['الاب', 'عشقان', 'و', 'الام', 'غيرانة', 'و', 'البنت', 'بالبيت', 'حيرانة']","['اسم', 'صفة', 'عطف', 'اسم', 'صفة', 'عطف', 'اسم', 'اسم', 'صفة']",Lebanon
1,2,انبحتِت متل الأباوة,"['انبحتت', 'مثل', 'القباوة']","['فعل+ماضي', 'nan', 'اسم']",Syria
2,3,ما حدا أبدى من حدا,"['ما', 'حدا', 'أبدى', 'من', 'حدا']","['أداة+نفي', 'اسم', 'صفة+مقارنة', 'حرف+جر', 'اسم']",Lebanon
3,4,الإبرة اللي فيها خيطين ما بتخيَط,"['الإبرة', 'اللي', 'فيها', 'خيطين', 'ما', 'بتخيط']","['اسم', 'اسم+موصول', 'حرف+جر', 'اسم', 'أداة+نفي', 'فعل+مضارع']",Qatar
4,5,ما بعد الصبر إلا المجرفة و القبر,"['ما', 'بعد', 'الصبر', 'إلا', 'المجرفة', 'و', 'القبر']","['أداة+نفي', 'ظرف', 'اسم', 'أداة+إستثناء', 'اسم', 'عطف', 'اسم']",Tunisia
5,6,أبوك لما كان عايش ما لبس جبه منلو بعد ما مات القبة,"['أبوك', 'لما', 'كان', 'عايش', 'ما', 'لبس', 'جبة', 'منله', 'بعد', 'ما', 'مات', 'القبة']","['اسم', 'أداة+ربط', 'فعل+ماضي', 'صفة', 'أداة+نفي', 'فعل+ماضي', 'اسم', 'حرف+جر', 'ظرف', 'أداة+نفي', 'فعل+ماضي', 'اسم']",Lebanon
6,7,خود من عبد الله و اتكل على الله,"['خذ', 'من', 'عبد', 'الله', 'و', 'اتكل', 'على', 'الله']","['فعل+أمر', 'حرف+جر', 'اسم', 'اسم+علم', 'عطف', 'فعل+أمر', 'حرف+جر', 'اسم+علم']",Tunisia
7,8,اجا البراني يقلع الجواني,"['أجا', 'البراني', 'يقلع', 'الجواني']","['فعل+ماضي', 'صفة', 'فعل+مضارع', 'صفة']",Tunisia
8,9,إجا أجلو,"['أجا', 'أجله']","['فعل+ماضي', 'اسم']",Morocco
9,10,أجر و عافيه,"['أَجْر', 'و', 'عافية']","['اسم', 'عطف', 'اسم']",Egypt
10,11,بس صارت ورقة التين قد إجر البطة نام ولا تتغطَى,"['بس', 'صارت', 'ورقة', 'التين', 'قد', 'إجر', 'البطة', 'نام', 'ولا', 'تتغطى']","['أداة+ربط', 'فعل+ماضي', 'اسم', 'اسم', 'اسم', 'اسم', 'اسم', 'فعل+أمر', 'أداة+نفي', 'فعل+مضارع']",Lebanon
11,12,يللي بيتو من أجاز ما بيرمي الناس بالحجار,"['اللي', 'بيته', 'من', 'أجاز', 'ما', 'بيرمي', 'الناس', 'بالحجار']","['اسم+موصول', 'اسم', 'حرف+جر', 'اسم', 'أداة+نفي', 'فعل+مضارع', 'اسم', 'اسم']",Syria
12,13,اقتيل ابنك و احسين أدبو ما بيموت ليجي أجلو,"['اقتيل', 'ابنك', 'و', 'احسين', 'أدبه', 'ما', 'بيموت', 'ليجي', 'أجله']","['فعل+أمر', 'اسم', 'عطف', 'فعل+أمر', 'اسم', 'أداة+نفي', 'فعل+مضارع', 'فعل+مضارع', 'اسم']",Lebanon
13,14,عجِّل و لا تؤجّل,"['عجل', 'و', 'لا', 'تؤجّل']","['فعل+أمر', 'عطف', 'أداة+نفي', 'فعل+مضارع']",Jordan
