sentID.BTEC,sent,sentiment
0,موجود في نهاية الممر، بجيب لك شوي الحين. اذا احتجت شي ثاني خبرني.,neutral
2,تسوي تعديلات؟,neutral
4,بغينا طاولة يم الدريشة.,neutral
5,هو ذاك الصوب، بالضبط جدام استعلامات السياح بالضبط.,neutral
9,ما قط سمعت بهالعنوان في هالمنطقة من قبل.,neutral
11,امش سيده لين تشوف صيدلية.,neutral
12,شنو اللون اللي هابين فيه هالفترة؟,neutral
14,في حالتي انا دايماً حق شغل، نادراً حق استانس.,neutral
15,بقعد يومين.,neutral
16,بغيت كيرلي ضيق.,neutral
17,بغيت احجز غرفتين مزدوجتين.,neutral
18,ما أبغيه منزوع.,negative
19,يوقف هالباص في شارع ستونر؟,neutral
24,افتح حلجك قد ما تقدر.,neutral
26,بكم الريوق؟,neutral
27,شلون اقدر اساعدك؟,neutral
29,خل ناخذ شي ناكله.,neutral
30,خذ ثالث لفة يسار.,neutral
31,ممكن تنظف هالثياب؟,neutral
37,عطيتك رقم تلفونه وعنوانه.,neutral
38,دفعت مصاريف الوجبات والفندق مقدم.,neutral
40,قاعد ادور مطعم مشويات زين وهادي. ممكن تأشر عليهم في الخريطة؟,neutral
42,اذا كسرته تشتريه.,negative
46,بقول لها تكلمك اول ما ترجع.,neutral
50,بغيت سكر وكريمة في القهوة؟,neutral
51,هي متعورة واجد.,negative
52,بغيت ولاعة.,neutral
53,في تجهيزات للمؤتمرات في هالفندق؟,neutral
56,معليه ناكل وجبة خفيفة؟,neutral
57,انا اتصل من المطار، بكون عندك على الساعة اربع.,neutral
62,وين اقدر احول لشيكاغو؟,neutral
63,كم يكلف ارسال رسالة مسجلة لفرنسا؟,neutral
64,ممكن تصرف لي قيمة جيكي بو ميتين دولار كاش؟,neutral
68,وايد فرق لما تسوق على الجهة اليمين.,neutral
69,الممثل واجد عجيب.,positive
72,وين قسم الكتب الواقعية؟,neutral
74,اذا المفروض يصير، اتصل فيني.,neutral
78,ممكن تغير كرسيي؟,neutral
79,في ضمان؟,neutral
83,مسامحة، بحط بالي على الكلب.,neutral
84,"بغيت تذكرتين حق ""كاتس"" هالخميس.",neutral
86,وين الكوفي شوب؟,neutral
87,بغيت فانلة يهال.,neutral
89,شسمك مرة ثانية؟,neutral
90,سيد براون موجود؟,neutral
91,اوكي. يكلف خمسة وثمانين سنت بالبريد العادي وثلاث دولارات بالضبط زيادة حق التسليم الخاص.,neutral
