sentID.BTEC,sent,sentiment
5,موجود هنيك، قدام مكتب معلومات السياح بالزبط.,neutral
9,ما سمعت بهيك عنوان هون من قبل.,neutral
11,إمشي مباشرة لحد ما تشوف صيدلية.,neutral
26,بأديش الفطور؟,neutral
27,كيف فيني ساعدك؟,neutral
30,لف عالشمال بالدخلة التالتة.,neutral
50,بتحب كريما وسكر مع القهوة؟,neutral
64,ممكن تصرفلي هاد الشيك بقيمة ميتين دولار؟,neutral
74,إذا بين، اتصل فيني رجاءً.,neutral
86,وين القهوة؟,neutral
87,بدي كنزة أطفال.,neutral
91,أوك. هاد بكلف خمسة وتمانين سنت بالبريد العادي وزيادة تلاتة دولار بالظبط للتوصيل الخاص.,neutral
120,لو كنت مكانك كنت اشتريته.,positive
129,ممكن واجه صعوبة مع الجمارك؟,neutral
130,بلاقي عندك حذاء رسمي للرجلين العراض؟,neutral
140,لاء. ممكن اقترح وحدة لشخصين للاستخدام الفردي بدالها؟ عنا وحدة.,neutral
143,بدي كيرلي ضيق، إذا سمحت.,neutral
145,بدها بيرة.,neutral
157,صباح الخير. كيفك؟,positive
158,للأسف أنا مضطر إني شوف شي بيثبت الهوية.,neutral
169,أي نوع صوص؟,neutral
170,هاد بارد شوي. ممكن تسخنه؟,neutral
173,بعتذر. هالمكان محجوز.,neutral
176,أنا منيح. بس في مجال تتصل برفيقي؟,neutral
177,شكراً. هيك بكفي.,positive
184,مين أقرب صديق لئلك؟,neutral
187,يوم الصحة والرياضة بعشرة تشرين الأول هوة عطلة رسمية مخصصة للتوعية بتحسين صحة الشعب.,positive
192,بدك افحص تحت الطبون؟,neutral
206,ممكن تساعدني لاقي شنتاية سفري؟,neutral
221,فيك تعمل الترتيبات سلفاً؟,neutral
238,في حدا عم يساعدني. شكراً.,positive
261,وقت توصل لهنيك، اسآل حدا تاني، رجاءً.,neutral
280,اعطيني تحويلة أربع وعشرين لو سمحت.,neutral
285,هدول دولارين، وخلي الكمالة.,neutral
315,وحدة هامبرغر و وحدة تشيزبرغر، إذا سمحت.,positive
319,أديش بتاخد عالاجراءات؟,neutral
320,كل واحد مننا بحب يدفع عن وجبته.,neutral
326,كان الموقع على كرسي بالردهة.,neutral
333,رجاءً حولي هدول الينات لجنيهات.,neutral
346,بدي قاموس حجمه صغير، لو سمحت.,positive
360,"لشخصين عالساعة سبعة. الاسم هوة ""واتانابي"".",neutral
368,ساعتي. كانت سيكو ديجيتال.,neutral
370,بيسعدنا نقدملك الشراب يللي بتختاره، وبعده العشا. الدليل الكامل للمشروبات يللي منقدمها على هي الرحلة موجود بدليل المعلومات بمجلتنا.,positive
373,ساكن قريب من هون؟,neutral
375,وين محل الهدايا؟,neutral
386,أنا على الأتوستراد واحد قريب من خليج مورو.,neutral
391,بدي ساعة منبه إذا بتريد.,neutral
398,بالمناسبة، اسمي هيروشي ايجيما.,neutral
401,هاد القطار بوقف بليك فورست، صح؟,neutral
408,أغلب اليابانيين بياكلوا أخطبوط و محار.,neutral
416,ممكن تعطيني تذكرتين درجة تانية على شيكاغو، إذا بتريد؟,neutral
419,رحت على نيويورك.,neutral
423,شو رقم الرحلة؟,neutral
442,واحد على نيويورك، إذا ممكن.,positive
446,لمدة كم يوم.,neutral
447,التاني عاليسار.,neutral
471,هاد الكرت، تمام؟,neutral
488,هاد مكتب الاستقبال؟ في عيادة قريبة؟,neutral
493,بكفي عشرة دولار للتكسي؟,neutral
503,طعمته غريبة.,negative
512,اي. استنى، رح جبلك واحد.,neutral
516,نص قنينة، إذا سمحت.,neutral
540,لاء. بس شي مو غالي.,neutral
548,عم اتدور على شي؟,neutral
551,أربع ليالي.,neutral
553,لازمني شوية جرابات.,neutral
565,فيك اتنزل سعره لأن عليه شوية وسخ؟,neutral
571,انطرق فيني شخص. بعدها لاحظت انو جزداني انسرق.,negative
599,مالي متأكد إذا أخدت أواعي منيح لرحلة تلات أسابيع.,negative
612,طيب، حابين نجرب نبيت أبيض.,positive
631,إذا حدا سأل عني، قلون إني رح كون بالقهوة.,neutral
632,متأكد إني كنت حاطه بجيبة المانطو الجوانية.,neutral
641,ممكن تعطيني اسم و رقم الشخص يللي بدك تتصل فيه؟,neutral
643,رح تدفعلي شركة الطيران لأشتري شوي من حاجاتي الضرورية الشخصية؟,neutral
650,بدي غرفة مع حمام.,neutral
652,ما طلع شي من المكنة؟,neutral
667,كنت المفروض تسافر برحلة رقم تمانة اتنين صفر، يللي أقلعت من ربع ساعة. مو مشكلة. فيني دبرلك رحلة تانية.,neutral
673,في حدا فتحلي طردي.,neutral
679,لا، مو مشكلة. أنت هون، على كل حال.,neutral
680,خطوط الطيران اليابانية، رحلة رقم واحد اتنين تلاتة.,neutral
681,لازم اشتري شامبو.,neutral
683,ممكن اتخبرني وقت نوصل على السيفيك سينتر؟,neutral
688,وين أقرب لحام؟,neutral
703,بدنا نضل أربع ليالي إبتداءً من واحد آب.,neutral
708,شو اسم هديك الزهرة؟,neutral
719,خمسطعش أيلول هوة يوم احترام الكبار بالسن.,neutral
723,مافي صابون بغرفتي.,negative
741,في شي ممكن آخده لعلاج هاد الطفح؟,neutral
742,ممكن تصيغ الشي يللي قلته بطريقة تانية؟,neutral
761,أديش بدي وقت لأطلب؟,neutral
773,ممكن تعلي صوتك شوي، إذا سمحت؟,neutral
777,أديش بده وقت حتى يطلع؟,neutral
786,وين معلومات الرياضة؟,neutral
787,هاد القياس، القياس العادي، بيظبط.,neutral
793,وين بتنتها الجولة، و إيمتا؟,neutral
848,وين لازم بدل القطار حتى أوصل على إدنبره؟,neutral
855,بدي أودع هاد بصندوق امانات.,neutral
859,وين فيني اقلب مصريي؟,neutral
897,فينا نترك اغراضنا، ما عدا الغراض الغالية، بالباص؟,neutral
902,ما بعرف هالسعر على فاتورتي لشو.,negative
917,رح ادفع خمسين دولار.,neutral
941,هلأ عرفت شو كانت المشكلة.,neutral
957,أنا إيكيدا. عندي حجز طاولة عالساعة ستة و نص المسا. بس بدي اعتذر رح اتأخر نص ساعة.,negative
1003,كم أونصة عطر فيني اشتري من دون ضريبة؟,neutral
1007,سياحة بس.,neutral
1010,منيح، وقعهن رجاءً. كيف بتحبه يكون؟,positive
1023,لسه عندك مقاعد لعرض الليلة؟,neutral
1036,بدي واحد كبير.,positive
1037,ما صحيت على منبه الساعة ستة ونص.,neutral
1038,أنا مصور حر.,neutral
1047,اللاعبين ممكن يعطوك نصائح كازينو مقابل دولاراتك. منروح؟,neutral
1056,عنا تقريباً تلاتين نوع زيت حمام.,neutral
1062,رح جهزلك الاقتراح الاسبوع الجاية.,neutral
