sentID.BTEC,sent,sentiment
0,كاين في اللاخر ديال هاد القاعة. انجيب ليك شويا دابا. و إلا حتاجيتي شي حاجا اخرى، قولها ليا.,neutral
2,واش كا دير التعديلات؟,neutral
4,بغينا ناخدو طابلة حدا الشرجم.,neutral
5,راه تما، مقابل مكتب استعلامات السياح بالضبط.,neutral
9,ما عمري سمعت هاد العنوان هنايا.,neutral
11,سير نيشان حتا تشوف صيدلية.,neutral
12,شنو هو اجدد لون هاد الموسم؟,neutral
14,في الحالة ديالي، راه غالبا على الخدمة، قليل للمتعة.,neutral
15,غادي نبقا يومين.,neutral
16,بغيت بيرمانونت مجهد.,neutral
17,بغيت نحجز جوج غرف ثنائية.,neutral
18,ما بغيتهوش منزوع.,negative
19,واش كا يحبس هاد الطوبيس في شارع ستونر؟,neutral
24,حل فمك مزيان عافاك.,neutral
26,شحال كا يدير الفطور؟,neutral
27,كيفاش نقدر نعاونك؟,neutral
29,يالاه ناخدو شي حاجة ناكلوها.,neutral
30,مع القنت التالت دور على ليسر.,neutral
31,واخا تغسل هاد لحوايج؟,neutral
37,غادي نعطيك رقم التلفون و العنوان ديالو.,neutral
38,خلصت الماكلة و الأوطيل مسبقاً.,neutral
40,كا نقلب على شي مطعم زوين، وهادئ من نوع الشوا. واخا توريهم في هاد الخريطة؟,neutral
42,الا هرسته، خاصك تشريه.,negative
46,غادي نقول ليها تعيط ليك منين ترجع.,neutral
50,واش تبغي لاكريم و السكر في القهوة ديالك؟,neutral
51,راها مضروبة بزاف.,negative
52,بغيت بريكا.,neutral
53,واش هاد الأوطيل فيه تجهيزات ديال المؤتمرات؟,neutral
56,واش ماشي مشكل ناخدو غير وجبة خفيفة؟,neutral
57,كا نعيط من المطار. غادي نكون تما معا الربعة تقريباً.,neutral
62,منين نحول لشيكاغو؟,neutral
63,بشحال نقدر نصيفط رسالة مسجلة لفرنسا؟,neutral
64,تقدر تخلص الشيك ديالي ديال ميتين دولار؟,neutral
68,السياقة مختالفة بزاف من الجنب ليمن ديال الزنقة.,neutral
69,الممثل واعر بزاف.,positive
72,فين هو القسم ديال الكتاب الواقعي؟,neutral
74,إلا خصو يبان، عيط ليا عفاك.,neutral
78,تقدر تبدل ليا البلاصة عفاك؟,neutral
79,واش كاين شي ضمانة؟,neutral
83,سمح ليا، غادي نتهلا في الكلب.,neutral
