sentID.BTEC,sent,sentiment
5,اهو هناك، بالضبط جدام امام مكتب المعلومات السياحية.,neutral
9,انا ماسمعت ابد بالهعنوان.,neutral
11,روح سيده حتى تشوف الصيدلية.,neutral
26,بجم سعر الريوق؟,neutral
27,كيف اقدر اساعدك؟,neutral
30,سير يسار للتقاطع الثالث.,neutral
50,تبا نحط لك كريم و سكر بالقهوة؟,neutral
64,هل تقدر تصرفلي شيك بمائتي دولار؟,neutral
74,اذا كان مفروض يبين، اتصل فيني لو سمحت.,neutral
86,وين صاير المقهي؟,neutral
87,أبغا سترة للأطفال.,neutral
91,انزين. وتكلف خمسة وثمانين سنتا للبريد العادي وثلاثة دولارات بالضبط إضافية للتسليم الخاص.,neutral
120,أبا اشتري هذا لو حاب.,positive
129,هل واجهت أي صعوبه مع الجمارك؟,neutral
130,عندك جواتي رسمية واسعة؟,neutral
140,لا. ممكن أقترح غرفة مزدوجة لاستخدام شخص بدلا من ذلك؟ عندنا واحدة.,neutral
143,أبا كيرلي قوي، من فضلك.,neutral
145,هي تبا بيره.,neutral
157,صباح الخير. كيف حالك؟,positive
158,اسف احتاج اشوف اثبات للهوية.,neutral
169,أي نوع من الصوص؟,neutral
170,هذا بارد نوعا ما. بتسخنه؟,neutral
173,اسف، بس هالمكان ماخوذه من قبل.,neutral
176,أنا بخير. هل تمانع اتصل بصديقي؟,neutral
177,مشكور، كفيت ووفيت.,positive
184,منو صديقك المفضل؟,neutral
187,يوم الصحة والرياضة عشرة اكتوبر عطلة وطنية عشان تعزيز صحة الشعب.,positive
192,هل تبا مني افحص تحت صندوق السيارة؟,neutral
206,هل تقدر تساعدني اندور شنطة السفر؟,neutral
221,تبا اتسوي الترتيبات من قبل؟,neutral
238,فيه شخص بيساعدني، شكرا.,positive
261,من توصل هناك، اسال شخص ثاني لو سمحت.,neutral
280,أبا مد اربع وعشرين، لو سمحت.,neutral
285,اهني دولارين، احتفظ بالباقي.,neutral
315,لو سمحت عطني واحد همبرجر وواحد همبرجر مع جبن.,positive
319,بجم تاخذ في هالعملية؟,neutral
320,نحن نبغا ندفع الوجبات مالتنا.,neutral
326,الموقع كان على الكرسي في بهو الفندق.,neutral
333,لو سمحت أبا اصرف هاذي الينات الى جنيهات.,neutral
346,أبا قاموس بحجم المخبى لو سمحت.,positive
360,حال شخصين على السبع، الاسم واتاناب.,neutral
368,ساعتي كانت نوعية سايكو الرقمية.,neutral
370,يسعدنا نقدملك المشروب الي تختاره، وبعده العشا. وفيه دليل كامل عن المشروبات اللي نقدمها في هالرحلة موجود في دليل المعلومات في مجلتنا.,positive
373,هل تعيش بالقرب من اهني؟,neutral
375,وين يصير محل بيع الهدأيا؟,neutral
386,انا على الخط السريع واحد بقرب خليج مورو.,neutral
391,أبا منبه لو سمحت.,neutral
398,على فكرة، اسمي هيروشي ايجيما.,neutral
401,هالقطار يتوقف عند بحيرة فورست صحيح؟,neutral
408,اكثر اليابانيين ياكلون الاخطبوط والحبار.,neutral
416,لو سمحت اقدر احجز تذكرتين من الدرجة الثانية لشيكاجو؟,neutral
419,انا رحت لنيويورك.,neutral
423,شو هو رقم الرحلة؟,neutral
442,واحد لنيويورك من فضلك.,positive
446,حال جم يوم.,neutral
447,الثاني الى اليسار.,neutral
471,هاذي البطاقه، انزين؟,neutral
