sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	BEN	قاعد غادي، بالضبط قدام مكتب المعلومات السياحية .
9	corpus-6-test-corpus-26-train	BEN	ماعمريش سمعت بالعنوان هضا هنا .
11	corpus-6-test-corpus-26-train	BEN	أمشي طول لعند ما تشوف الصيدلية.
26	corpus-6-test-corpus-26-train	BEN	بكم الفطور؟
27	corpus-6-test-corpus-26-train	BEN	كيف نقدر نساعدك؟
30	corpus-6-test-corpus-26-train	BEN	أمشي يسار للشوكة الثالثة.
50	corpus-6-test-corpus-26-train	BEN	تبي كريمة و سكر في قهوتك؟
64	corpus-6-test-corpus-26-train	BEN	تقدر تصرفلي شيك ميتين دولار بتاعي؟
74	corpus-6-test-corpus-26-train	BEN	لو المفروض يبان، كلمني لو سمحت.
86	corpus-6-test-corpus-26-train	BEN	وين الكافي؟
87	corpus-6-test-corpus-26-train	BEN	نبي مالية بتاع أطفال.
91	corpus-6-test-corpus-26-train	BEN	اوكي. يكلف خمسة وثمانين سنت للبريد العادي و ثلاثة دولار بالضبط زيادة للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	BEN	كنت حنشريه لو كنت مكانك.
129	corpus-6-test-corpus-26-train	BEN	هل حيكون عندي أي صعوبه مع الجمرك؟
130	corpus-6-test-corpus-26-train	BEN	عندك كندرة قفطان مفتوحة عند الصوابع؟
140	corpus-6-test-corpus-26-train	BEN	لا. بس نقدر نقترح دار مزدوجة لاستعمال واحد بدالها؟ عندنا واحدة.
143	corpus-6-test-corpus-26-train	BEN	نبي كيرلي مشدود، لو سمحت.
145	corpus-6-test-corpus-26-train	BEN	هي تبي بيرة .
157	corpus-6-test-corpus-26-train	BEN	صباح الخير . كيف حالك؟
158	corpus-6-test-corpus-26-train	BEN	اسف اني حنضطر نشوف أي نموذج كشف الهوية.
169	corpus-6-test-corpus-26-train	BEN	شن نوع الصوص؟
170	corpus-6-test-corpus-26-train	BEN	هضا شوية مسقع . ممكن تسخنه؟
173	corpus-6-test-corpus-26-test	BEN	أسف، المكان هضا محجوز .
