sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	AMM	هيو هناك، بالزبط مقابل مكتب المعلومات السياحية.
9	corpus-6-test-corpus-26-train	AMM	أنا ما سمعت أبداً عن هاد العنوان في المنطقة هون.
11	corpus-6-test-corpus-26-train	AMM	امشي دغري لعند ما تشوف صيدلية.
26	corpus-6-test-corpus-26-train	AMM	كم سعر الفطور؟
27	corpus-6-test-corpus-26-train	AMM	كيف بقدر أساعدك؟
30	corpus-6-test-corpus-26-train	AMM	روح يسار من عند الدخلة التالتة.
50	corpus-6-test-corpus-26-train	AMM	بتحب الكريمة والسكر مع قهوتك؟
64	corpus-6-test-corpus-26-train	AMM	ممكن تصرفلي الشيك بميتين دولار؟
74	corpus-6-test-corpus-26-train	AMM	ازا بده يظهر، لو سمحت كلمني.
86	corpus-6-test-corpus-26-train	AMM	وين الكوفي شوب؟
87	corpus-6-test-corpus-26-train	AMM	بدي بلوفر أطفال.
91	corpus-6-test-corpus-26-train	AMM	طيب. بكلف تمنية وخمسين سنت للبريد العادي وتلاتة دولار بالزبط اضافية للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	AMM	أنا كنت راح أشتريه لو كنت محلك.
129	corpus-6-test-corpus-26-train	AMM	راح يكون عندي أي صعوبة في التعامل مع الجمارك؟
130	corpus-6-test-corpus-26-train	AMM	عندك كندرة رسمية واسعة من عند الأصابع؟
140	corpus-6-test-corpus-26-train	AMM	لا. ممكن أقترح عليك بدالها غرفة مزدوجة تستخدمها استخدام فردي. عنا وحدة.
143	corpus-6-test-corpus-26-train	AMM	أنا بدي اياه كتير مموج، لو سمحت.
145	corpus-6-test-corpus-26-train	AMM	بدها خمرة.
157	corpus-6-test-corpus-26-train	AMM	صباح الخير. كيف حالك؟
158	corpus-6-test-corpus-26-train	AMM	أسف راح أحتاج أشوف اثبات هوية.
169	corpus-6-test-corpus-26-train	AMM	أي نوع من الصوص؟
170	corpus-6-test-corpus-26-train	AMM	هاد بارد شوي. ممكن تسخنه؟
173	corpus-6-test-corpus-26-test	AMM	آسف، بس هاد المكان محجوز.
176	corpus-6-test-corpus-26-train	AMM	أنا تمام، بس ممكن أحكي مع صاحبي؟
177	corpus-6-test-corpus-26-test	AMM	شكراً، هيك بكفي.
184	corpus-6-test-corpus-26-train	AMM	مين صاحبك المفضل؟
187	corpus-6-test-corpus-26-train	AMM	يوم الصحة والرياضة بعشرة أكتوبر بكون عطلة وطنية عملوه عشان يرفعوا مستوى الصحة عند الناس.
192	corpus-6-test-corpus-26-train	AMM	بدك اياني أشيك تحت غطا الموتور؟
206	corpus-6-test-corpus-26-train	AMM	ممكن تساعدني ألاقي شنتة سفري؟
221	corpus-6-test-corpus-26-train	AMM	ممكن إتطور الترتيبات؟
238	corpus-6-test-corpus-26-train	AMM	حد عم بساعدني، شكراً الك.
261	corpus-6-test-corpus-26-train	AMM	لما توصل هناك، اسأل حد تاني، لو سمحت.
280	corpus-6-test-corpus-26-train	AMM	حابب أمدد يوم، لو سمحت.
285	corpus-6-test-corpus-26-train	AMM	هي دولارين. خلي الباقي إلك.
315	corpus-6-test-corpus-26-train	AMM	واحد همبرغر وواحد برجر بالجبنة، لو سمحت.
319	corpus-6-test-corpus-26-train	AMM	كم تاخد عشان العملية؟
320	corpus-6-test-corpus-26-train	AMM	احنا كل واحد حابب يدفع على وجبته.
326	corpus-6-test-corpus-26-train	AMM	الموقع كان موجود على كرسي باللوبي.
333	corpus-6-test-corpus-26-test	AMM	لو سمحت اصرفلي هدول من ين لجنيهات.
346	corpus-6-test-corpus-26-train	AMM	بدي قاموس بحجم الجيبة، لو سمحت.
360	corpus-6-test-corpus-26-train	AMM	لشخصين الساعة سبعة. الاسم واتاناب.
368	corpus-6-test-corpus-26-train	AMM	ساعتي. كانت رقمية من سيكو.
370	corpus-6-test-corpus-26-train	AMM	راح نكون كتير مبسوطين نقدملك الشراب اللي بتختاره، وبيلحقة العشا. منوفر قائمة كاملة من الشراب على هاي الطيارة موجودة بمجلة المعلومات التوجيهية تبعتنا.
373	corpus-6-test-corpus-26-test	AMM	انت عايش بالمنطقة هون؟
375	corpus-6-test-corpus-26-train	AMM	وين محل الهدايا؟
386	corpus-6-test-corpus-26-test	AMM	أنا بالشارع الرئيسي الأول قريب من المارو بايه.
391	corpus-6-test-corpus-26-train	AMM	بدي ساعة منبه، لو سمحت.
398	corpus-6-test-corpus-26-dev	AMM	بالمناسبة، اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	AMM	هاد القطار بوقف عند بحيرة الغابة. مش هيك؟
408	corpus-6-test-corpus-26-train	AMM	أغلب اليبانيين بياكلو الأخطبوط والحبار.
416	corpus-6-test-corpus-26-train	AMM	ممكن أحجز بطاقتين لتشيكاغو من الدرجة التانية، لو سمحت؟
419	corpus-6-test-corpus-26-train	AMM	أنا رحت على نيويورك.
423	corpus-6-test-corpus-26-train	AMM	كم رقم رحلة الطيران؟
442	corpus-6-test-corpus-26-test	AMM	وحدة لنيويورك، لو سمحت.
446	corpus-6-test-corpus-26-train	AMM	لحوالي كم يوم.
447	corpus-6-test-corpus-26-train	AMM	التاني على الشمال.
471	corpus-6-test-corpus-26-dev	AMM	هاي البطاقة، طيب؟
488	corpus-6-test-corpus-26-train	AMM	هاد مكتب الاستقبال؟ في عيادة قريبة من هون؟
493	corpus-6-test-corpus-26-train	AMM	بكفو عشرة دولار للتكسي؟
503	corpus-6-test-corpus-26-train	AMM	هاد الطعم غريب.
512	corpus-6-test-corpus-26-train	AMM	طيب. استنى، راح أجبلك وحدة.
516	corpus-6-test-corpus-26-train	AMM	نص عبوة، لو سمحت.
540	corpus-6-test-corpus-26-train	AMM	مش هيك. بس اشي مش غالي.
548	corpus-6-test-corpus-26-train	AMM	انت بتستنى اشي؟
551	corpus-6-test-corpus-26-train	AMM	أربع ليالي.
553	corpus-6-test-corpus-26-train	AMM	محتاج شوية جرابات.
565	corpus-6-test-corpus-26-train	AMM	بتقدر ترخصلي اياه لأنه هون عليها شوية بقع؟
571	corpus-6-test-corpus-26-train	AMM	في رجال ضرب في . وبعدها لاحظت أنه محفظتي انسرقت.
599	corpus-6-test-corpus-26-train	AMM	أنا مش متأكد اذا عندي ملابس مضبوبة تكفيني لرحلة مدتها ثلاث أسابيع.
612	corpus-6-test-corpus-26-train	AMM	طيب، احنا حابيين نجرب الخمر الأبيض.
631	corpus-6-test-corpus-26-train	AMM	اذا أي حد سأل عني، احكيلهم اني راح أكون بالكوفي شوب.
632	corpus-6-test-corpus-26-train	AMM	أنا متأكد انه كان بالجيبة جوا كبوتي.
641	corpus-6-test-corpus-26-test	AMM	ممكن تعطيني الاسم والرقم للجهة اللي بتتصل فيها؟
643	corpus-6-test-corpus-26-train	AMM	راح تدفعلي شركة الطيران عشان أشتري شوية أشياء من الضروريات الشخصية الأساسة؟
650	corpus-6-test-corpus-26-train	AMM	بدي غرفة مع حمام.
652	corpus-6-test-corpus-26-dev	AMM	ما في أي انتاج من الآلة؟
667	corpus-6-test-corpus-26-test	AMM	انت كان المفروض تطلع برحلة الطيران رقم ثمانمية وعشرين، اللي أقلعت من خمسطعشر دقيقة. على العموم. أنا بقدر أرتبلك رحلة تانية.
673	corpus-6-test-corpus-26-train	AMM	في حد فضالي الطرد البريدي.
679	corpus-6-test-corpus-26-test	AMM	أووه، ولا اشي. انت هون، على كل حال.
680	corpus-6-test-corpus-26-train	AMM	الخطوط الجوية اليابانية، رحلة الطيران رقم واحد اتنين تلاتة.
681	corpus-6-test-corpus-26-train	AMM	أنا لازم أشتري شامبو.
683	corpus-6-test-corpus-26-train	AMM	ممكن تحكيلي متى راح نوصل على مركز المدينة؟
688	corpus-6-test-corpus-26-train	AMM	وين أقرب لحام؟
703	corpus-6-test-corpus-26-train	AMM	احنا حابيين نضل أربع ليالي من واحد أغسطس.
708	corpus-6-test-corpus-26-train	AMM	شو اسم هاي الوردة؟
719	corpus-6-test-corpus-26-train	AMM	خمسطعش سبتمبر هو يوم احترام المسنين.
723	corpus-6-test-corpus-26-train	AMM	ما عندي صابون في الغرفة.
741	corpus-6-test-corpus-26-dev	AMM	في أي اشي ممكن أخده عشان هاد الطفح الجلدي؟
742	corpus-6-test-corpus-26-train	AMM	بتقدر تغير الصياغة للي انت حكيته هلأ؟
761	corpus-6-test-corpus-26-test	AMM	كم بده وقت عشان ياخد الطلب؟
773	corpus-6-test-corpus-26-train	AMM	ممكن تحكي بصوت أعلى شوي، لو سمحت؟
777	corpus-6-test-corpus-26-train	AMM	كم راح يكون طولها قبل ما تطلع؟
