Sentence_ID,Tokens,NER_Tags
1,اش,O
1,رايك,O
1,تنزله,O
1,الحين,O
1,بما,O
1,ان,O
1,جمهورك,O
1,كلهم,O
1,متجمعين,O
1,ايش,O
1,وانت,O
1,ايش,O
1,دخلك,O
1,يا,O
1,انقلع,O
1,من,O
1,هنا,O
1,هذا,O
1,بين,O
1,الأخوه,O
1,انت,O
1,ايش,O
1,حشرك,O
1,بيننا,O
1,يا,O
1,ابن,O
1,الحر,O
1,ما,O
1,تذكر,O
1,الحرايم,O
1,الا,O
1,الحريم,O
1,من,O
1,أمثلك,O
1,يمكن,O
1,عملو,O
1,في,O
1,بخ,O
1,طيب,O
1,ايش,O
1,فيها,O
1,والله,O
1,فيها,O
1,كل,O
1,الخير,O
1,مادري,O
1,والله,O
1,احسن,O
1,من,O
1,المسلسلات,O
1,الي,O
1,يتابعونه,O
1,قلة,O
1,ادب,O
1,قناة,O
1,محافظه,O
1,بس,O
1,هم,O
1,غيرانين,O
1,لانه,O
1,القناة,O
1,الفخمة,O
1,والمزه,O
1,من,O
1,قهري,O
1,والله,O
1,كل,O
1,واحد,O
1,يسب,O
1,وانا,O
1,ارد,O
1,ع,O
1,كل,O
1,واحد,O
1,تعبت,O
1,قسم,O
2,اكتب,O
2,اصلاً,O
2,زين,O
2,ثم,O
2,اهرج,O
2,لو,O
2,احد,O
2,يسالني,O
2,تربيتي,O
2,ع,O
2,ايش,O
2,بقول,O
2,ع,O
2,ايش,O
2,الغلط,O
2,في,O
2,كﻻم,O
2,هذي,O
2,الحقيقه,O
2,هههههههههه,O
2,تبغى,O
2,صغير,O
2,غصبن,O
2,عنك,O
2,يا,O
2,طحلبي,O
2,رأيكم,O
2,اش,O
2,رايكم,O
2,ياجماعه,O
2,نتأهل,O
2,معاهم,O
2,ولا,O
2,لا,O
2,لعيبة,O
2,المنتخب,O
2,لاتفشلونا,O
2,لقطة,O
2,بالجوال,O
2,حسيتها,O
2,ابداع,O
2,من,O
2,غابة,O
2,رأيكم,O
2,يا,O
2,جماعة,O
2,ياجماعه,O
2,وش,O
2,رايكم,O
2,اتهور,O
2,واتابعه,O
2,أيش,O
2,رأيكم,O
2,ياجماعة,O
2,بالرجال,O
2,هذا,O
2,يا,O
2,بنت,O
2,أنا,O
2,ما,O
2,همني,O
2,وش,O
2,يقولون,O
3,وربي,O
3,جايه,O
3,اكتب,O
3,نفس,O
3,الشي,O
3,خير,O
3,شتبين,O
3,انا,O
3,عادي,O
3,عندي,O
3,اضحك,O
3,على,O
3,نفس,O
3,الشي,O
3,ألف,O
3,مرة,O
3,وكأني,O
3,اول,O
3,مرة,O
3,اشوفه,O
3,بعض,O
3,الاشياء,O
3,مضحكه,O
3,وتخليك,O
3,ترجع,O
3,تضحك,O
3,اكثر,O
3,من,O
3,مره,O
3,الا,O
3,يجي,O
3,يوم,O
3,ما,O
3,تضحكك,O
3,الا,O
3,اذا,O
3,مسطول,O
3,لو,O
3,فيه,O
3,نقطة,O
3,عقل,O
3,كان,O
3,سوا,O
3,نفس,O
3,الشي,O
3,مع,O
3,عايلته,O
3,الكذاب,O
3,المنافق,O
3,ما,O
3,حشر,O
3,البنات,O
3,في,O
3,إطار,O
3,الأربع,O
3,جدران,O
3,اللا,O
3,هوه,O
3,و,O
3,اشكاله,O
3,والله,O
3,الكبر,O
3,ماهو,O
3,موجود,O
3,الاعند,O
3,الذكور,O
3,محللين,O
3,لنفسهم,O
3,كل,O
3,شي,O
3,ومحرمينه,O
3,على,O
3,اهلهم,O
3,اللي,O
3,يسمونهم,O
3,عورات,O
3,وفوق,O
3,ذافاضحينا,O
3,وسط,O
3,العالم,O
3,سب,O
3,واستهزاء,O
3,لبناتنا,O
3,اذا,O
3,قالتلك,O
3,يالورع,O
3,زعلت,O
3,بس,O
3,تستانس,O
3,يالتيس,O
3,ترى,O
3,اثنينهم,O
3,نفس,O
3,الشي,O
3,الموضوع,O
3,اختلاف,O
3,لهجات,O
3,فقط,O
3,يعني,O
3,الحين,O
3,متعنيه,O
3,عشان,O
3,تبينين,O
3,لنفسك,O
3,قد,O
3,ايش,O
3,انتي,O
3,تافهه,O
3,ومريضه,O
3,ربي,B-MISC
3,يبليك,O
3,في,O
3,نفسكك,O
3,وتذوقين,O
3,نفس,O
3,الشي,O
3,اللي,O
3,ذاقته,O
3,البنت,O
3,واخسسس,O
3,مقرف,O
3,لما,O
3,تكون,O
3,معاي,O
3,ومع,O
3,غيري,O
3,نفس,O
3,الشي,O
3,ونفس,O
3,الكلام,O
3,والمشاعِر,O
3,مقرف,O
3,لأبعد,O
3,حدّ,O
4,هذا,O
4,اسطورة,O
4,بس,O
4,في,O
4,التحكم,O
4,و,O
4,التسدح,O
4,والتبطح,O
4,نفس,O
4,الشي,O
4,بس,O
4,انتم,O
4,يَ,O
4,حبكمم,O
4,للأجانب,O
4,مدري,O
4,اذا,O
4,احد,O
4,شايف,O
4,نفس,O
4,الشي,O
4,والا,O
4,عيوني,O
4,بس,O
4,الا,O
4,فيها,O
4,ودايما,O
4,يحطون,O
4,صورهم,O
4,جمب,O
4,بعض,O
4,ويقارنونها,O
4,كويس,O
4,يعني,O
4,عيوني,O
4,مافيها,O
4,شي,O
4,كويسة,O
4,أحد,O
4,يعرف,O
4,بطاقة,O
4,أوفر,B-MISC
4,لك,O
4,وش,O
4,مميزاتها,O
4,وهل,O
4,خصوماتها,O
4,كويسة,O
4,للمطاعم,O
5,استغرب,O
5,منً,O
5,قلةً,O
5,الادب,O
5,اللى,O
5,بتحصل,O
5,من,O
5,الشباب,O
5,للعريس,O
5,كلامً,O
5,فاضي,O
5,بيجي,O
5,وقت,O
5,زواجي,O
5,باذن,O
5,الله,B-MISC
5,وبشوف,O
5,مين,O
5,ولد,O
5,امه,O
5,يتجرا,O
5,يسويها,O
5,معايا,O
5,والله,O
5,لاحط,O
5,رجلي,O
5,بعد,O
5,موب,O
5,اصبعي,O
5,بس,O
5,اعزمني,O
5,لزواجك,O
5,وش,O
5,هالكلام,O
5,هذا,O
5,مالها,O
5,دخل,O
5,بقلة,O
5,الأدب,O
5,إذا,O
5,مو,O
5,قلة,O
5,أدب,O
5,أجل,O
5,ايش,O
5,تسميها,O
5,طيب,O
5,زمان,O
5,كان,O
5,قريش,O
5,عندهم,O
5,عادة,O
5,لو,O
5,الوحده,O
5,ولدت,O
5,بنت,O
5,كانو,O
5,يدفنوها,O
5,حية,O
5,ليش,O
5,ما,O
5,نرجع,O
5,لدي,O
5,العادة,O
5,كويس,O
5,ممكن,O
5,يكون,O
5,فعلاً,O
5,كويس,O
5,لكن,O
5,حسيته,O
5,ممل,O
5,كويس,O
5,حصلت,O
5,احد,O
5,ترجم,O
5,الكلام,O
5,مو,O
6,مو,O
6,كفو,O
6,اقسم,O
6,بالله,O
6,ذي,O
6,البنت,O
6,مو,O
6,صاحيه,O
6,اقسم,O
6,بالله,O
6,ما,O
6,تفرق,O
6,معي,O
6,تصرف,O
6,لهم,O
6,ملايين,O
6,بس,O
6,اشوف,O
6,نجوم,O
6,تقارع,O
6,العالم,O
6,مو,O
6,الزلايب,O
6,اللي,O
6,عندنا,O
6,ريال,O
6,والله,O
6,حرام,O
6,فيهم,O
6,نجوم,O
6,ولا,O
6,غيره,O
6,ماحنا,O
6,مستفيدين,O
6,مثقال,O
6,ذره,O
6,من,O
6,فوزهم,O
6,وخسارتهم,O
6,ماغير,O
6,صرف,O
6,من,O
6,هالملايين,O
6,احساس,O
6,ودي,O
6,اجربه,O
7,اشغل,O
7,السيارة,O
7,ويجي,O
7,اخوي,O
7,يقول,O
7,تكفين,O
7,ابي,O
7,اطلع,O
7,خذيني,O
7,معك,O
7,اقوله,O
7,بعدين,O
7,بعدين,O
7,مشغووله,O
7,مو,O
7,فٱضية,O
7,لك,O
7,البنات,O
7,ينتظروني,O
7,بالأسترآحه,O
7,مو,O
7,مشكلة,O
7,يتغيّر,O
7,حلمك,O
7,من,O
7,وقت,O
7,لآخر,O
8,موضوع,O
8,ان,O
8,الشخص,O
8,ينتظر,O
8,انك,O
8,تغلط,O
8,عشان,O
8,يخسرك,O
8,صارت,O
8,قديمه,O
8,الحين,O
8,يخترع,O
8,غلطه,O
8,ويصدقها,O
8,ويبتعد,O
8,وانت,O
8,مو,O
8,فاهم,O
8,شي,O
8,هههههه,O
8,كانك,O
8,تخاطب,O
8,حالتي,O
8,اقسم,O
