sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	TRI	اوني غادي، قدام متاع معلومات السواح بالضبط.
9	corpus-6-test-corpus-26-train	TRI	ماعمريش سمعت بيه العنوان هدا هنايا.
11	corpus-6-test-corpus-26-train	TRI	برا طول لين تشوف صيدلية.
26	corpus-6-test-corpus-26-train	TRI	بقداش الفطور؟
27	corpus-6-test-corpus-26-train	TRI	كيف نقدر نساعدك؟
30	corpus-6-test-corpus-26-train	TRI	عند تالت تقاطع خود يسار.
50	corpus-6-test-corpus-26-train	TRI	تبي حليب و سكر في قهوتك؟
64	corpus-6-test-corpus-26-train	TRI	ممكن تصرفلي الشيك متاعي الي بميتين دولار؟
74	corpus-6-test-corpus-26-train	TRI	كانا لازم يبان، كلمني لو سمحت.
86	corpus-6-test-corpus-26-train	TRI	وين مكان القهوه؟
87	corpus-6-test-corpus-26-train	TRI	نبي ماليه متاع صغار.
91	corpus-6-test-corpus-26-train	TRI	باه. حتكلفك خمسه و تمانين سنت للبريد العادي و تلاته دولار بالضبط زيادة للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	TRI	أني حنشري هادي لو كنت مكانك.
129	corpus-6-test-corpus-26-train	TRI	زعمه حنلاقي صعوبات مع الجمارك؟
130	corpus-6-test-corpus-26-train	TRI	هل عنك كنادر رسميه واسعه من القدام؟
140	corpus-6-test-corpus-26-train	TRI	لا. نقدر نقترح عليك دار متاع اتنين لكن لإستخدام فردي؟ عندنا واحدة.
143	corpus-6-test-corpus-26-train	TRI	نبي كيرلي ضيق، لو سمحت.
145	corpus-6-test-corpus-26-train	TRI	هي تبي بيره.
157	corpus-6-test-corpus-26-train	TRI	صباح الخير. كيف حالك؟
158	corpus-6-test-corpus-26-train	TRI	معليشي نبي نشوف اي بطاقة تعريف ليك.
169	corpus-6-test-corpus-26-train	TRI	اي نوع من الصوص؟
170	corpus-6-test-corpus-26-train	TRI	هدا شوية مصقع. ممكن تسخنه؟
173	corpus-6-test-corpus-26-test	TRI	معليشي، لكن المكان هدا موخود.
176	corpus-6-test-corpus-26-train	TRI	أني كويس. لكن لو ممكن تكلم صاحبي؟
177	corpus-6-test-corpus-26-test	TRI	صحيت، هكي ساد.
184	corpus-6-test-corpus-26-train	TRI	مني صاحبك الي زي اوخيك؟
187	corpus-6-test-corpus-26-train	TRI	يوم الصحة والرياضه عشرة أكتوبر عطلة رسميه صممت لتشجيع علي صحة الناس.
192	corpus-6-test-corpus-26-train	TRI	تبيني نشوف تحت الكوفينو؟
206	corpus-6-test-corpus-26-train	TRI	ممكن تساعدني ندور علي شنطتي؟
221	corpus-6-test-corpus-26-train	TRI	هل بتدير ترتيباتك مسبق؟
238	corpus-6-test-corpus-26-train	TRI	في حد ساعدني. صحيت.
261	corpus-6-test-corpus-26-train	TRI	لما توصل، اسال حد تاني، لو سمحت.
280	corpus-6-test-corpus-26-train	TRI	نبي توصلني برقم اربعة و عشرين، لو ممكن.
285	corpus-6-test-corpus-26-train	TRI	خود زوز دولار. خلي الباقي عندك.
315	corpus-6-test-corpus-26-train	TRI	واحده هامبرجر ووحدة تانيه بالجبنه، من فضلك.
319	corpus-6-test-corpus-26-train	TRI	بقداش تحسب فيها الخدمه؟
320	corpus-6-test-corpus-26-train	TRI	كل واحد فينا يفضل يخلص ماكلته بروحه.
326	corpus-6-test-corpus-26-train	TRI	المكان كان علي كرسي في الصاله.
333	corpus-6-test-corpus-26-test	TRI	بالله صرفلي الينات الي جنيهات.
346	corpus-6-test-corpus-26-train	TRI	نبي قاموس حجم الجيب، من فضلك.
360	corpus-6-test-corpus-26-train	TRI	لزوز أشخاص الساعه سبعه. الاسم واتانابي.
368	corpus-6-test-corpus-26-train	TRI	ساعتي. كانت سيكو رقميه.
370	corpus-6-test-corpus-26-train	TRI	حنكونو سعيدين ان نضيفوك مشروب من اختيارك، بعد العشي. قايمة المشاريب الي نقدمو فيها في الطياره تلقاها في المجلة متاعنا جيهة المعلومات.
373	corpus-6-test-corpus-26-test	TRI	تسكن الجيهة هادي؟
375	corpus-6-test-corpus-26-train	TRI	وين دكان الهدايا؟
386	corpus-6-test-corpus-26-test	TRI	اني في السريع الي جنب مورو باي.
