Sentence_ID,sentence,Tokens,NER_Tags,Dialect
1,كاين ستاظ 1 نوفنبر في باتنة وكاين وهران وعنابة.. بصح هوما يبغو العاصمة خلي,"['كاين', 'ستاظ', '1', 'نوفنبر', 'في', 'باتنة', 'وكاين', 'وهران', 'وعنابة..', 'بصح', 'هوما', 'يبغو', 'العاصمة', 'خلي']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O']",Oman
2,راهم يعطوهم دراهم الدولة باش يسقمو بصح مشكلة في لي تحت بولبويات ياكلو في دراهم يشرو صوالح بأرخص أثمنة و باش يخدمو بلادهم يسرقوها علاه مانتقدموش علاه العصابة راهي في الادارات,"['راهم', 'يعطوهم', 'دراهم', 'الدولة', 'باش', 'يسقمو', 'بصح', 'مشكلة', 'في', 'لي', 'تحت', 'بولبويات', 'ياكلو', 'في', 'دراهم', 'يشرو', 'صوالح', 'بأرخص', 'أثمنة', 'و', 'باش', 'يخدمو', 'بلادهم', 'يسرقوها', 'علاه', 'مانتقدموش', 'علاه', 'العصابة', 'راهي', 'في', 'الادارات']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
3,بونجاح خارج,"['بونجاح', 'خارج']","['B-PERS', 'O']",Lebanon
4,هذي هي القوة الضاربة,"['هذي', 'هي', 'القوة', 'الضاربة']","['O', 'O', 'O', 'O']",Saudi Arabia
5,لانو تعودنا نسكتو ونخافو ونستعرف بيهم انهم دارو ستوريات قبل المبارات هكدا,"['لانو', 'تعودنا', 'نسكتو', 'ونخافو', 'ونستعرف', 'بيهم', 'انهم', 'دارو', 'ستوريات', 'قبل', 'المبارات', 'هكدا']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Libya
6,بالاك يخافو الي يديرو في هاد المهزلة,"['بالاك', 'يخافو', 'الي', 'يديرو', 'في', 'هاد', 'المهزلة']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
7,حسبنا الله ونعم الوكيل في راني نشوف في بلماضي راه رايح ربي وكيلكم,"['حسبنا', 'الله', 'ونعم', 'الوكيل', 'في', 'راني', 'نشوف', 'في', 'بلماضي', 'راه', 'رايح', 'ربي', 'وكيلكم']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O']",Algeria
8,يريدون دفع بلماضي للاستقالة بأي طريقة كانت هم يلعمو وان 45 مليون جزائري مع بلماضي لهذا يريدون دفعه للاستقالة حتى لا يقعوا في حرج امام الشعب لم نرى ملعب تشاكر بهذا السوء من قبل حتى بدران قالهم البارح بلي اول مرة نرى الملعب بهذا السوء بالرغم من انني العب…,"['يريدون', 'دفع', 'بلماضي', 'للاستقالة', 'بأي', 'طريقة', 'كانت', 'هم', 'يلعمو', 'وان', '45', 'مليون', 'جزائري', 'مع', 'بلماضي', 'لهذا', 'يريدون', 'دفعه', 'للاستقالة', 'حتى', 'لا', 'يقعوا', 'في', 'حرج', 'امام', 'الشعب', 'لم', 'نرى', 'ملعب', 'تشاكر', 'بهذا', 'السوء', 'من', 'قبل', 'حتى', 'بدران', 'قالهم', 'البارح', 'بلي', 'اول', 'مرة', 'نرى', 'الملعب', 'بهذا', 'السوء', 'بالرغم', 'من', 'انني', 'العب…']","['O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
9,محبيتوش تفهموا بلي المشكل ماشي في مسؤول و لا شخص تتم اقالته و انتهى المشكل ، المشكل في منظومة بأكملها جيبها من اول مسؤول في البلد و اهبط حنى للشعب . لوكان رماو البراقة نتاع الزواوش,"['محبيتوش', 'تفهموا', 'بلي', 'المشكل', 'ماشي', 'في', 'مسؤول', 'و', 'لا', 'شخص', 'تتم', 'اقالته', 'و', 'انتهى', 'المشكل', '،', 'المشكل', 'في', 'منظومة', 'بأكملها', 'جيبها', 'من', 'اول', 'مسؤول', 'في', 'البلد', 'و', 'اهبط', 'حنى', 'للشعب', '.', 'لوكان', 'رماو', 'البراقة', 'نتاع', 'الزواوش']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
10,تخرج خير من هكذا,"['تخرج', 'خير', 'من', 'هكذا']","['O', 'O', 'O', 'O']",Tunisia
11,درك يخرج مدير الملعب يقلك الثليفونات لي صورو بيهم هم السبة,"['درك', 'يخرج', 'مدير', 'الملعب', 'يقلك', 'الثليفونات', 'لي', 'صورو', 'بيهم', 'هم', 'السبة']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tunisia
12,والارضية راهي مليحة,"['والارضية', 'راهي', 'مليحة']","['O', 'O', 'O']",Algeria
13,ارضية تصلح لكل شيء ما عدا كرة القدم,"['ارضية', 'تصلح', 'لكل', 'شيء', 'ما', 'عدا', 'كرة', 'القدم']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Oman
14,كل هذا من أجل إخراج,"['كل', 'هذا', 'من', 'أجل', 'إخراج']","['O', 'O', 'O', 'O', 'O']",Modern Standard Arabic
15,من المنتخب... حبو يكرهو له حياته.... أعداء النجاح..,"['من', 'المنتخب...', 'حبو', 'يكرهو', 'له', 'حياته....', 'أعداء', 'النجاح..']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tunisia
16,واحد يريبوندي لبغداد يقلو راها تتكتب ابهى,"['واحد', 'يريبوندي', 'لبغداد', 'يقلو', 'راها', 'تتكتب', 'ابهى']","['O', 'O', 'B-PERS', 'O', 'O', 'O', 'O']",Tunisia
17,شيء جميل ان يندد اللاعبون بالأمر خاصة انهم المعنيون مباشرة لأن بلماضي يتحسر الآن بعد ان اقتنع ان المسؤولين عبارة عن فاشلين غير قابلين للتصحيح ... و كما قال لن اتكلم مجددا لأن الموضوع اصبح مخزي جدا,"['شيء', 'جميل', 'ان', 'يندد', 'اللاعبون', 'بالأمر', 'خاصة', 'انهم', 'المعنيون', 'مباشرة', 'لأن', 'بلماضي', 'يتحسر', 'الآن', 'بعد', 'ان', 'اقتنع', 'ان', 'المسؤولين', 'عبارة', 'عن', 'فاشلين', 'غير', 'قابلين', 'للتصحيح', '...', 'و', 'كما', 'قال', 'لن', 'اتكلم', 'مجددا', 'لأن', 'الموضوع', 'اصبح', 'مخزي', 'جدا']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Saudi Arabia
18,كاين عنابة و كاين وهران,"['كاين', 'عنابة', 'و', 'كاين', 'وهران']","['O', 'B-LOC', 'O', 'O', 'B-LOC']",Algeria
19,بصح هو يحب السونطر راك فاهم قولو يريح تشكي,"['بصح', 'هو', 'يحب', 'السونطر', 'راك', 'فاهم', 'قولو', 'يريح', 'تشكي']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
20,نهدرو بالون اقسم بالله غير فوقت زطشي ماكناش نشوفو هاد لعفايس...,"['نهدرو', 'بالون', 'اقسم', 'بالله', 'غير', 'فوقت', 'زطشي', 'ماكناش', 'نشوفو', 'هاد', 'لعفايس...']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O']",Morocco
21,والله يا القوة الضاربة,"['والله', 'يا', 'القوة', 'الضاربة']","['O', 'O', 'O', 'O']",Tunisia
22,خص تراكتور يحرث,"['خص', 'تراكتور', 'يحرث']","['O', 'O', 'O']",Tunisia
23,ابها ولا ابهى المهم الفكرة وصلت,"['ابها', 'ولا', 'ابهى', 'المهم', 'الفكرة', 'وصلت']","['O', 'O', 'O', 'O', 'O', 'O']",Tunisia
