sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	SAN	هوذاك هاناك، قبال مكتب المعلومات السياحيه بالضبط.
9	corpus-6-test-corpus-26-train	SAN	ماقد سمعتش ابدا بهذا العنوان هانا.
11	corpus-6-test-corpus-26-train	SAN	امشي طوالي لوما تبسر صيدليه.
26	corpus-6-test-corpus-26-train	SAN	بكم هو الصبوح؟
27	corpus-6-test-corpus-26-train	SAN	كيف اقدر اساعدك؟
30	corpus-6-test-corpus-26-train	SAN	اخطى يسار عند الركن الثالث.
50	corpus-6-test-corpus-26-train	SAN	تشتي كريمه وسكر في القهوة؟
64	corpus-6-test-corpus-26-train	SAN	تقدر تصرف لي شيك الميتين الدولار؟
74	corpus-6-test-corpus-26-train	SAN	اذا لازم يظهر، لو سمحت اتصل لي.
86	corpus-6-test-corpus-26-train	SAN	اين هو الكافيه؟
87	corpus-6-test-corpus-26-train	SAN	أشتي سترة أطفالي.
91	corpus-6-test-corpus-26-train	SAN	تمام. يكلف خمسه وثمانين سنت للبريد العادي و ثلاثه دولار بالضبط زياده للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	SAN	شا اشتري ذيه لو كنت مكانك.
129	corpus-6-test-corpus-26-train	SAN	هل شا اواجه مشاكل مع الجمارك؟
130	corpus-6-test-corpus-26-train	SAN	به معك جزمه رسميه واسعه عند الاصابع؟
140	corpus-6-test-corpus-26-train	SAN	لا. ممكن اقترح عليك غرفة مزدوجة ل استخدام فرد بدله؟ عندنا واحدة.
143	corpus-6-test-corpus-26-train	SAN	اشتي تجعيد قوي، لو سمحت.
145	corpus-6-test-corpus-26-train	SAN	هي تشتي بيره.
157	corpus-6-test-corpus-26-train	SAN	صباح الخير. كيف حالك؟
158	corpus-6-test-corpus-26-train	SAN	أسف مضطر اطلب منك تبرز اي شي يثيت هويتك.
169	corpus-6-test-corpus-26-train	SAN	ما هو نوع الصوص؟
170	corpus-6-test-corpus-26-train	SAN	هذا بارد شويه. عتحميه؟
173	corpus-6-test-corpus-26-test	SAN	أسف، هذه البقعه قدي محجوزه.
176	corpus-6-test-corpus-26-train	SAN	أنا بخير. لكن ممكن تتصل لصاحبي؟
177	corpus-6-test-corpus-26-test	SAN	شكرا، ذيه كفايه.
184	corpus-6-test-corpus-26-train	SAN	من هو أعز أصحابك؟
187	corpus-6-test-corpus-26-train	SAN	يوم الصحة والرياضه عشره اكتوبر هو اجازه وطنيه عملوها عسب يشجعو الناس يهتمو بصحتهم.
192	corpus-6-test-corpus-26-train	SAN	تشتيني افحص لك الطبلون؟
206	corpus-6-test-corpus-26-train	SAN	عتقدر تساعدني القى شنطتي؟
221	corpus-6-test-corpus-26-train	SAN	ممكن تعمل التجهيزات مقدما؟
238	corpus-6-test-corpus-26-train	SAN	به احد بيساعدني. شكرا.
261	corpus-6-test-corpus-26-train	SAN	لوما قدك هناك، اسال احد ثاني، لو سمحت.
280	corpus-6-test-corpus-26-train	SAN	أشتي توصيله اربعه وعشرين، لو سمحت.
285	corpus-6-test-corpus-26-train	SAN	هولا اثنين دولار. خلي الباقي.
315	corpus-6-test-corpus-26-train	SAN	واحد همبرجر و واحد برجر بالجبنه، لو سمحت.
319	corpus-6-test-corpus-26-train	SAN	كم ب تشل على العمليه؟
320	corpus-6-test-corpus-26-train	SAN	احنا الأثنين نشتي ندفع حق وجباتنا.
326	corpus-6-test-corpus-26-train	SAN	الموقع كان فوق كرسي في اللوبي.
333	corpus-6-test-corpus-26-test	SAN	لو سمحت اصرف لي هولا من ين ل جنيهات.
346	corpus-6-test-corpus-26-train	SAN	اشتي قاموس جيب، لو سمحت.
360	corpus-6-test-corpus-26-train	SAN	لشخصين الساعه سبع. الاسم هو وطنابي.
368	corpus-6-test-corpus-26-train	SAN	ساعتي. كانت سايكو رقميه.
370	corpus-6-test-corpus-26-train	SAN	عيكون الشرف لنا انه نقدم لك مشروب على حسب اختيارك، بعده ندي الغداء. المنيو حق المشروبات اللي بنقدمها في هذه الرحله موجود بدليل المعلومات في حقنا المجله.
373	corpus-6-test-corpus-26-test	SAN	أنت بتعيش هانا؟
375	corpus-6-test-corpus-26-train	SAN	أين محل الهدايا؟
386	corpus-6-test-corpus-26-test	SAN	أنا في الطريق السريع رقم واحد قريب خليج مورو.
391	corpus-6-test-corpus-26-train	SAN	ممكن منبه، لو سمحت.
398	corpus-6-test-corpus-26-dev	SAN	بالمناسبه، انا اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	SAN	هذا القطار بيوقف عند ليك فورست، او ماشي؟
