sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	BAG	موجود هناك، بالضبط مقابيل مكتب المعلومات السياحية.
9	corpus-6-test-corpus-26-train	BAG	عمري ما سامع بهيج عنوان بهل المنطقة.
11	corpus-6-test-corpus-26-train	BAG	اطلع كبل لحد ما تشوف الصيدلية.
26	corpus-6-test-corpus-26-train	BAG	شكد يكلف الريوك؟
27	corpus-6-test-corpus-26-train	BAG	شلون اكدر اساعدك؟
30	corpus-6-test-corpus-26-train	BAG	اخذ يسره ثالث زوية.
50	corpus-6-test-corpus-26-train	BAG	تحب اخليلك كريم وشكر بالكهوة مالتك؟
64	corpus-6-test-corpus-26-train	BAG	ممكن تصرفلي الصك مالتي أبو الميتين دولار؟
74	corpus-6-test-corpus-26-train	BAG	اذا صار شي، رجاءً اتصل بيه.
86	corpus-6-test-corpus-26-train	BAG	وين صايره الكهوة؟
87	corpus-6-test-corpus-26-train	BAG	اريد سترة مال أطفال.
91	corpus-6-test-corpus-26-train	BAG	ماشي. هاي تكلف خمسة وثمانين سنت للبريد العادي وتلث دولارات بالضبط إضافية للتسليم الخاص.
120	corpus-6-test-corpus-26-test	BAG	لو اني بمكانك جان اشتريتها.
129	corpus-6-test-corpus-26-train	BAG	هل راح اواجه صعوبات ويه الكمارك؟
130	corpus-6-test-corpus-26-train	BAG	عندك احذية رسمية ببوز عريض؟
140	corpus-6-test-corpus-26-train	BAG	لا. ممكن اقترح غرفة بسريرين لشخص كشي بديل؟ عدنا وحده.
143	corpus-6-test-corpus-26-train	BAG	اريد كيرلي قوي، رجاءً.
145	corpus-6-test-corpus-26-train	BAG	تريد بيره.
157	corpus-6-test-corpus-26-train	BAG	صباح الخير، شلونك؟
158	corpus-6-test-corpus-26-train	BAG	اسف احتاج اشوف أي هويه تعريفية.
169	corpus-6-test-corpus-26-train	BAG	شنو نوع الصوص؟
170	corpus-6-test-corpus-26-train	BAG	هذا بارد شويه، ممكن تحميه؟
173	corpus-6-test-corpus-26-test	BAG	آسف، هذا المكان محجوز.
176	corpus-6-test-corpus-26-train	BAG	أني زين. بس ممكن تنادي صديقي؟
177	corpus-6-test-corpus-26-test	BAG	شكراً. هذا كافي.
184	corpus-6-test-corpus-26-train	BAG	منو افضل صديق عندك؟
187	corpus-6-test-corpus-26-train	BAG	يوم الصحة والرياضة المصادف عشرة تشرين الأول هوه عيد وطني يهدف الى تعزيز صحة الناس.
192	corpus-6-test-corpus-26-train	BAG	تريدني اچيك جوه البنيد مالت السيارة؟
206	corpus-6-test-corpus-26-train	BAG	ممكن تساعدني ادور على الجنطة مالتي؟
221	corpus-6-test-corpus-26-train	BAG	راح تسوي ترتيبات بشكل مسبق؟
238	corpus-6-test-corpus-26-train	BAG	حصلت على مساعده. شكراً.
261	corpus-6-test-corpus-26-train	BAG	لمن توصل لهنالك، اسألك شخص آخر، رجاءً.
280	corpus-6-test-corpus-26-train	BAG	اريد قسم أربعة وعشرين، رجاءً.
285	corpus-6-test-corpus-26-train	BAG	هاي دولارين. احتفظ بالباقي.
315	corpus-6-test-corpus-26-train	BAG	واحد همبركر وواحد تشيزبيرغر، رجاءً.
319	corpus-6-test-corpus-26-train	BAG	شكد تأخذ على العملية؟
320	corpus-6-test-corpus-26-train	BAG	نريد كل واحد يدفع حساب الوجبه مالته.
326	corpus-6-test-corpus-26-train	BAG	المكان جان على كرسي باللوبي.
333	corpus-6-test-corpus-26-test	BAG	رجاءً حولي هاي الينات الى جنيهات.
346	corpus-6-test-corpus-26-train	BAG	اريد قاموس جيب، رجاءً.
360	corpus-6-test-corpus-26-train	BAG	لشخصين بالسبعة. الأسم هوه واتانابي.
368	corpus-6-test-corpus-26-train	BAG	ساعتي. جانت سايكو ديجيتال.
370	corpus-6-test-corpus-26-train	BAG	راح يكون من دواعي سرورنا ان نقدملك الشراب الي تختاره، ووراها العشه. دليل كامل بالمشروبات الي نقدملها بهاي الرحلة موجود بدليل المعلومات بمجلتنا.
